Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1781,12:34:30.1737,Trigger,0,0,0,0,0,0,0,0,0,0
1782,12:34:30.1847,H,-1.325229,1.17543,-1.148341,-0.9977012,-0.005624623,0.06513494,-0.01783398,0.7761877,352.543,1.997532
1782,12:34:30.1847,T,-1.331648,0.9860462,-1.359807,0.190275,-0.9805611,0.04223633,0.02261301,337.9718,181.7478,184.5926
1783,12:34:30.1957,H,-1.325096,1.175566,-1.148611,-0.9977274,-0.005051903,0.0647869,-0.01780931,0.7098249,352.5819,1.999213
1783,12:34:30.1957,T,-1.331892,0.9863527,-1.359707,0.1912892,-0.9803702,0.04205371,0.02267651,337.8535,181.7555,184.5689
1784,12:34:30.2066,H,-1.325019,1.175652,-1.148832,-0.9977566,-0.004776522,0.06437264,-0.0177512,0.6770799,352.6289,1.994883
1784,12:34:30.2066,T,-1.331997,0.9865774,-1.359707,0.1914146,-0.9803376,0.04205194,0.02302733,337.8372,181.7975,184.5603
1785,12:34:30.2176,H,-1.324881,1.175627,-1.14906,-0.9977684,-0.004895044,0.06409926,-0.01804404,0.6922335,352.6607,2.027696
1785,12:34:30.2176,T,-1.332155,0.9866377,-1.35977,0.1931437,-0.9800335,0.04152993,0.02247652,337.639,181.7358,184.5099
1786,12:34:30.2286,H,-1.324784,1.175488,-1.149369,-0.9977919,-0.005249245,0.06364995,-0.01823413,0.733206,352.7131,2.04718
1786,12:34:30.2286,T,-1.33216,0.9865452,-1.359791,0.193319,-0.979995,0.0414723,0.02275228,337.6173,181.7699,184.4963
1787,12:34:30.2395,H,-1.324663,1.175238,-1.149538,-0.9978021,-0.006121026,0.06333488,-0.01850268,0.8341916,352.7512,2.071837
1787,12:34:30.2395,T,-1.332331,0.9864216,-1.360001,0.1923178,-0.9801742,0.0417343,0.02303768,337.7324,181.8026,184.5214
1788,12:34:30.2515,H,-1.324531,1.174862,-1.149727,-0.9978184,-0.007444638,0.06289225,-0.01864382,0.9856449,352.8047,2.078875
1788,12:34:30.2515,T,-1.332218,0.9862226,-1.360087,0.1919617,-0.9802331,0.04190658,0.02318629,337.7729,181.818,184.5388
1789,12:34:30.2625,H,-1.324395,1.174516,-1.149894,-0.9978356,-0.00895576,0.06241933,-0.01864928,1.157505,352.862,2.069238
