Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1598,11:45:38.0996,Trigger,0,0,0,0,0,0,0,0,0,0
1599,11:45:38.1116,H,-1.315702,1.066208,-0.9823958,-0.9993561,0.02297059,0.02080423,0.0180828,357.3254,357.662,357.9814
1599,11:45:38.1116,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1600,11:45:38.1226,H,-1.315724,1.066206,-0.9823831,-0.99937,0.02274711,0.02057796,0.01785266,357.352,357.6869,358.0066
1600,11:45:38.1226,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1601,11:45:38.1335,H,-1.315756,1.066247,-0.9823287,-0.9993796,0.02254801,0.02050162,0.01765747,357.3754,357.6947,358.0284
1601,11:45:38.1335,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1602,11:45:38.1445,H,-1.315807,1.066236,-0.982307,-0.9993858,0.02247436,0.02034608,0.01758419,357.3843,357.7122,358.0362
1602,11:45:38.1445,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1603,11:45:38.1555,H,-1.315936,1.066245,-0.9823092,-0.9993904,0.02239429,0.02033631,0.01743009,357.3939,357.7128,358.0537
1603,11:45:38.1555,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1604,11:45:38.1664,H,-1.316003,1.066237,-0.9823074,-0.9993955,0.0221429,0.02046332,0.01731096,357.4227,357.6975,358.0671
1604,11:45:38.1664,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1605,11:45:38.1774,H,-1.316063,1.0662,-0.9823225,-0.9994015,0.02195153,0.02055047,0.01710424,357.4449,357.6866,358.0906
1605,11:45:38.1774,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1606,11:45:38.1884,H,-1.316146,1.066192,-0.9823403,-0.9994028,0.02177587,0.02081885,0.0169252,357.465,357.6551,358.1114
1606,11:45:38.1884,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1607,11:45:38.1994,H,-1.316175,1.066179,-0.9823329,-0.9993967,0.0216758,0.02128845,0.01682871,357.4758,357.6008,358.1234
1607,11:45:38.1994,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1608,11:45:38.2113,H,-1.31625,1.066173,-0.9823596,-0.9993934,0.021658,0.02166639,0.01656715,357.4777,357.5567,358.1544
1608,11:45:38.2113,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1609,11:45:38.2223,H,-1.316314,1.066193,-0.9823333,-0.9993799,0.0217835,0.02223075,0.01646721,357.4626,357.492,358.1675
1609,11:45:38.2223,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1610,11:45:38.2333,H,-1.316384,1.066231,-0.9823558,-0.9993685,0.0220098,0.02271348,0.01619731,357.4364,357.4363,358.2003
1610,11:45:38.2333,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1611,11:45:38.2442,H,-1.31646,1.066257,-0.9823607,-0.9993575,0.02226155,0.02308339,0.01600426,357.4074,357.3938,358.224
1611,11:45:38.2442,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1612,11:45:38.2552,H,-1.316494,1.066319,-0.982355,-0.999344,0.0224558,0.02355189,0.01590026,357.3846,357.3401,358.2376
1612,11:45:38.2552,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1613,11:45:38.2662,H,-1.316549,1.066323,-0.9823552,-0.9993299,0.02278385,0.02386782,0.01584909,357.3466,357.3043,358.2452
1613,11:45:38.2662,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1614,11:45:38.2772,H,-1.316574,1.066342,-0.9823784,-0.9993173,0.02296251,0.02426705,0.01577225,357.3257,357.2586,358.2556
1614,11:45:38.2772,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1615,11:45:38.2891,H,-1.316597,1.066343,-0.9823636,-0.9993044,0.0231095,0.02457938,0.01589539,357.3079,357.2233,358.2427
1615,11:45:38.2891,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1616,11:45:38.3001,H,-1.316516,1.06632,-0.9823593,-0.9992948,0.0231989,0.02479546,0.01603677,357.2969,357.1991,358.2273
1616,11:45:38.3001,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1617,11:45:38.3111,H,-1.316539,1.06634,-0.9823208,-0.9992904,0.02326315,0.02491999,0.01601999,357.2894,357.1848,358.2297
1617,11:45:38.3111,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1618,11:45:38.3220,H,-1.31655,1.066304,-0.9822879,-0.9992812,0.02327232,0.02510538,0.01628484,357.2872,357.1643,358.1999
1618,11:45:38.3220,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1619,11:45:38.3330,H,-1.316601,1.066234,-0.9822047,-0.9992783,0.02328775,0.02509536,0.01645562,357.285,357.1659,358.1803
1619,11:45:38.3330,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1620,11:45:38.3440,H,-1.316623,1.066194,-0.9821601,-0.9992782,0.0230924,0.02518807,0.01659202,357.3068,357.1553,358.1644
1620,11:45:38.3440,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1621,11:45:38.3549,H,-1.316708,1.06607,-0.9820729,-0.9992747,0.02294011,0.02528923,0.01686214,357.3233,357.1442,358.1332
1621,11:45:38.3549,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1622,11:45:38.3669,H,-1.316751,1.066002,-0.9820296,-0.9992784,0.02265919,0.02540572,0.01684998,357.3553,357.1303,358.1342
1622,11:45:38.3669,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1623,11:45:38.3779,H,-1.316767,1.065946,-0.9820367,-0.9992827,0.02232463,0.02547804,0.01692732,357.3933,357.1216,358.1246
1623,11:45:38.3779,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1624,11:45:38.3889,H,-1.316784,1.06584,-0.9819815,-0.9992848,0.02205491,0.02566422,0.01687729,357.424,357.0997,358.13
1624,11:45:38.3889,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1625,11:45:38.3998,H,-1.316816,1.065825,-0.9819127,-0.9992932,0.02170371,0.0256618,0.01684045,357.4644,357.0992,358.1333
1625,11:45:38.3998,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1626,11:45:38.4108,H,-1.316887,1.065751,-0.9817717,-0.9992937,0.02148905,0.02593735,0.01666231,357.489,357.0668,358.1538
1626,11:45:38.4108,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1627,11:45:38.4218,H,-1.316953,1.065709,-0.9817371,-0.999296,0.02118195,0.02615434,0.01657552,357.524,357.0412,358.1634
1627,11:45:38.4218,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1628,11:45:38.4327,H,-1.317047,1.065689,-0.9815924,-0.9992959,0.02103024,0.02635934,0.01645006,357.5414,357.0171,358.1778
1628,11:45:38.4327,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1629,11:45:38.4437,H,-1.317147,1.065678,-0.9815471,-0.9992977,0.02090334,0.02652316,0.01623991,357.5562,356.9976,358.202
1629,11:45:38.4437,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1630,11:45:38.4557,H,-1.317268,1.06566,-0.9815004,-0.9992936,0.02083365,0.02682411,0.01608627,357.5641,356.9626,358.2201
1630,11:45:38.4557,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1631,11:45:38.4666,H,-1.317418,1.065686,-0.9814698,-0.9992889,0.02084715,0.02704048,0.01600069,357.5625,356.9376,358.2305
1631,11:45:38.4666,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1632,11:45:38.4776,H,-1.31754,1.065693,-0.9815122,-0.9992867,0.02089238,0.02725947,0.01570394,357.5578,356.9118,358.2652
1632,11:45:38.4776,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1633,11:45:38.4886,H,-1.317591,1.065732,-0.9814749,-0.9992786,0.02102498,0.02760732,0.01542933,357.5429,356.8715,358.2979
1633,11:45:38.4886,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1634,11:45:38.4996,H,-1.317679,1.065721,-0.9813688,-0.9992775,0.02108583,0.0278099,0.01505295,357.5368,356.8474,358.3417
1634,11:45:38.4996,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1635,11:45:38.5105,H,-1.317823,1.06576,-0.9813067,-0.9992747,0.02114775,0.02805805,0.01468801,357.5304,356.8181,358.3844
1635,11:45:38.5105,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1636,11:45:38.5215,H,-1.317915,1.065767,-0.9812604,-0.9992718,0.02116291,0.02833228,0.01432759,357.5294,356.7858,358.4264
1636,11:45:38.5215,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1637,11:45:38.5325,H,-1.317964,1.06576,-0.9812144,-0.9992687,0.02118678,0.02849965,0.01417797,357.5269,356.7663,358.4441
1637,11:45:38.5325,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1638,11:45:38.5444,H,-1.318054,1.065754,-0.9811678,-0.9992679,0.02117702,0.02861854,0.01401031,357.5284,356.7522,358.4636
1638,11:45:38.5444,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1639,11:45:38.5554,H,-1.318138,1.065781,-0.9811358,-0.9992687,0.02113554,0.02870275,0.01383803,357.5335,356.7421,358.4834
1639,11:45:38.5554,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1640,11:45:38.5664,H,-1.318172,1.065743,-0.9810731,-0.9992672,0.02106822,0.02883622,0.0137767,357.5413,356.7265,358.4905
1640,11:45:38.5664,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1641,11:45:38.5774,H,-1.318294,1.065715,-0.9810828,-0.9992661,0.02101725,0.02892512,0.0137427,357.5471,356.7162,358.4945
