Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1629,18:57:28.3253,Trigger,0,0,0,0,0,0,0,0,0,0
1630,18:57:28.3372,H,-1,424578,1,064719,-0,622126,-0,9986814,0,04093594,-0,03090019,0,002215495,355,3179,3,560791,359,6002
1630,18:57:28.3372,T,-1,429195,0,8604063,-0,8083477,0,2134938,-0,9746071,-0,03136637,0,05981359,335,6448,188,203,174,5402
1631,18:57:28.3482,H,-1,424445,1,064703,-0,6220479,-0,9986755,0,04082834,-0,0312206,0,002402924,355,3311,3,598419,359,5775
1631,18:57:28.3482,T,-1,42921,0,8604299,-0,8082778,0,2136499,-0,9745809,-0,03132501,0,05970336,335,6256,188,1899,174,5464
1632,18:57:28.3592,H,-1,424346,1,064652,-0,6219778,-0,9986715,0,04065264,-0,03157905,0,002319021,355,351,3,6391,359,5862
1632,18:57:28.3592,T,-1,429193,0,8604227,-0,8082895,0,2138322,-0,9745513,-0,0312531,0,05957194,335,603,188,1736,174,5566
1633,18:57:28.3701,H,-1,4243,1,064661,-0,6219116,-0,998664,0,04053397,-0,03197456,0,002212066,355,3644,3,683975,359,597
1633,18:57:28.3701,T,-1,429196,0,8603961,-0,8082658,0,213874,-0,9745396,-0,03114827,0,05966854,335,5977,188,1831,174,5664
1634,18:57:28.3811,H,-1,424143,1,064649,-0,6218525,-0,9986618,0,04036664,-0,03225242,0,002230627,355,3838,3,715877,359,5942
1634,18:57:28.3811,T,-1,429205,0,8603843,-0,8082715,0,2138037,-0,9745468,-0,03104044,0,05985878,335,6061,188,203,174,5754
1635,18:57:28.3931,H,-1,423993,1,064597,-0,6218008,-0,9986572,0,04018637,-0,03261254,0,002328153,355,4049,3,757586,359,582
1635,18:57:28.3931,T,-1,429195,0,8604212,-0,8082002,0,213854,-0,9745387,-0,03088403,0,05989114,335,5991,188,2034,174,5931
1636,18:57:28.4036,H,-1,423837,1,064552,-0,6217412,-0,9986481,0,04008449,-0,03301763,0,002238768,355,4164,3,803659,359,5908
1636,18:57:28.4036,T,-1,429071,0,8602895,-0,8079796,0,213979,-0,9745144,-0,03062116,0,05997455,335,5828,188,2079,174,6217
1637,18:57:28.4156,H,-1,423645,1,064483,-0,6216686,-0,9986482,0,03988111,-0,03326899,0,002140423,355,4395,3,831952,359,6017
1637,18:57:28.4156,T,-1,429072,0,8602821,-0,8079594,0,2139642,-0,9745206,-0,03037319,0,06005338,335,5829,188,2109,174,6502
1638,18:57:28.4256,H,-1,423511,1,064466,-0,621649,-0,9986433,0,03973772,-0,03358502,0,002128868,355,456,3,868119,359,6022
1638,18:57:28.4256,T,-1,429023,0,8603421,-0,8080509,0,2138804,-0,9745485,-0,03004244,0,06006666,335,5899,188,203,174,6914
1639,18:57:28.4366,H,-1,423304,1,064399,-0,6215487,-0,9986396,0,03953344,-0,03393517,0,002159955,355,4797,3,908356,359,5978
1639,18:57:28.4366,T,-1,428982,0,8603365,-0,8080204,0,2138372,-0,9745698,-0,02978341,0,06000337,335,5925,188,1879,174,7254
1640,18:57:28.4485,H,-1,423166,1,064376,-0,6215029,-0,998633,0,03931474,-0,03437233,0,002266516,355,5053,3,95892,359,5845
1640,18:57:28.4485,T,-1,42901,0,8603152,-0,8079727,0,2137828,-0,9745866,-0,02959117,0,06001901,335,5973,188,1843,174,7492
1641,18:57:28.4595,H,-1,423042,1,064335,-0,6214073,-0,9986277,0,03912592,-0,0347225,0,002506212,355,5281,4,000097,359,5562
1641,18:57:28.4595,T,-1,429047,0,8603623,-0,8079736,0,2138156,-0,9745877,-0,02938803,0,05998349,335,5916,188,1749,174,7747
1642,18:57:28.4704,H,-1,422915,1,064289,-0,6213641,-0,998617,0,03900684,-0,03513852,0,002819865,355,5432,4,049217,359,5188
1642,18:57:28.4704,T,-1,429018,0,860384,-0,8080915,0,2139203,-0,9745693,-0,02921156,0,05999716,335,5779,188,1729,174,7947
1643,18:57:28.4814,H,-1,422716,1,064273,-0,6213278,-0,9986123,0,03886377,-0,03541281,0,003029837,355,5606,4,081557,359,494
1643,18:57:28.4814,T,-1,429032,0,8604002,-0,8081133,0,2140162,-0,974553,-0,02904581,0,05999865,335,5654,188,1696,174,8139
1644,18:57:28.4924,H,-1,422562,1,064227,-0,6212925,-0,9985989,0,03878766,-0,03584255,0,003313165,355,5707,4,132137,359,4599
1644,18:57:28.4924,T,-1,429034,0,8603313,-0,8082057,0,2139619,-0,9745596,-0,02901347,0,06010113,335,572,188,1808,174,8158
1645,18:57:28.5034,H,-1,422395,1,06417,-0,6212258,-0,9985913,0,03861862,-0,03623242,0,00336418,355,5905,4,17702,359,4531
1645,18:57:28.5034,T,-1,429101,0,8602597,-0,8081763,0,2138767,-0,9745722,-0,02890284,0,06025243,335,5818,188,1957,174,8263
1646,18:57:28.5143,H,-1,422262,1,064206,-0,6211722,-0,9985779,0,0385163,-0,03670031,0,003422781,355,6027,4,23096,359,4447
1646,18:57:28.5143,T,-1,429122,0,8602386,-0,8081765,0,2138081,-0,9745767,-0,02898315,0,06038435,335,5912,188,2134,174,8138
1647,18:57:28.5253,H,-1,422112,1,06415,-0,6211917,-0,9985577,0,03853666,-0,03719513,0,003754476,355,6021,4,289303,359,4044
1647,18:57:28.5253,T,-1,429074,0,8602368,-0,8082277,0,2137553,-0,9745886,-0,0289268,0,06040742,335,597,188,2143,174,8207
1648,18:57:28.5363,H,-1,421927,1,064182,-0,621212,-0,9985398,0,03850202,-0,03767706,0,004049981,355,6076,4,345955,359,3685
