Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1602,11:11:25.3502,Trigger,0,0,0,0,0,0,0,0,0,0
1603,11:11:25.3612,H,-1.374513,1.035626,-1.158707,-0.9999585,0.006023857,0.006811381,-0.0005916358,359.3102,359.219,0.07250071
1603,11:11:25.3612,T,-1.373152,0.8473424,-1.336121,0.1685058,-0.9852604,-0.01577921,0.02487331,340.6548,183.3011,177.6022
1604,11:11:25.3722,H,-1.374508,1.035604,-1.158671,-0.9999595,0.005988369,0.006697226,-0.0004803948,359.3142,359.2322,0.05964699
1604,11:11:25.3722,T,-1.372978,0.8471749,-1.335902,0.1694248,-0.9851077,-0.01586679,0.02462585,340.5477,183.2767,177.5927
1605,11:11:25.3831,H,-1.374466,1.035624,-1.158614,-0.9999607,0.005898422,0.006600498,-0.0004351513,359.3244,359.2433,0.05432783
1605,11:11:25.3831,T,-1.373414,0.8476577,-1.336173,0.1696223,-0.9850742,-0.01585693,0.02461042,340.5247,183.2753,177.5933
1606,11:11:25.3941,H,-1.374475,1.035622,-1.1586,-0.9999613,0.005716065,0.006682893,-0.0003847971,359.3453,359.2339,0.04847334
1606,11:11:25.3941,T,-1.373358,0.8476468,-1.336155,0.1696155,-0.9850745,-0.01586398,0.02464098,340.5256,183.2791,177.5919
1607,11:11:25.4051,H,-1.374492,1.035563,-1.158551,-0.9999616,0.00570464,0.006650452,-0.0003998744,359.3466,359.2376,0.05017116
1607,11:11:25.4051,T,-1.373849,0.8479189,-1.336307,0.1693896,-0.9851132,-0.01587524,0.02463976,340.5518,183.2784,177.5916
1608,11:11:25.4171,H,-1.374468,1.035525,-1.158545,-0.9999624,0.005487266,0.006706,-0.0005430881,359.3716,359.2312,0.06645166
1608,11:11:25.4171,T,-1.373827,0.8479025,-1.336322,0.1688859,-0.9851985,-0.0159352,0.02464823,340.6106,183.2787,177.5864
1609,11:11:25.4270,H,-1.374465,1.035483,-1.158521,-0.9999629,0.005321074,0.00676333,-0.0004314415,359.3906,359.2247,0.05356469
1609,11:11:25.4270,T,-1.37378,0.8477616,-1.336301,0.1687675,-0.985217,-0.0160382,0.02465276,340.6247,183.2809,177.5745
1610,11:11:25.4390,H,-1.374437,1.035479,-1.158522,-0.9999637,0.00510618,0.006820555,-0.000343233,359.4152,359.2182,0.04332332
1610,11:11:25.4390,T,-1.373774,0.8477726,-1.336312,0.1689498,-0.9851913,-0.01594642,0.02449176,340.6028,183.2604,177.588
1611,11:11:25.4500,H,-1.374445,1.035406,-1.158542,-0.9999637,0.005000646,0.006897797,-0.0001979371,359.4271,359.2094,0.02663509
1611,11:11:25.4500,T,-1.374027,0.8477011,-1.336536,0.1692136,-0.9851448,-0.01593661,0.02454797,340.5723,183.268,177.5869
1612,11:11:25.4609,H,-1.37444,1.035394,-1.158569,-0.9999646,0.004858905,0.006876579,-4.706156E-05,359.4433,359.2119,0.009221909
1612,11:11:25.4609,T,-1.374022,0.8476908,-1.336552,0.1692776,-0.9851365,-0.01579526,0.02452884,340.5643,183.263,177.6039
1613,11:11:25.4719,H,-1.374489,1.035382,-1.158582,-0.9999642,0.004762962,0.006984871,-6.641938E-05,359.4543,359.1995,0.01142366
1613,11:11:25.4719,T,-1.373754,0.8475354,-1.336414,0.1692078,-0.9851468,-0.01578771,0.02460285,340.5726,183.2715,177.6036
1614,11:11:25.4829,H,-1.374459,1.035364,-1.158509,-0.9999638,0.004719057,0.007077712,2.75099E-06,359.4593,359.1889,0.0035123
1614,11:11:25.4829,T,-1.373733,0.8475045,-1.336426,0.1691307,-0.9851595,-0.01578771,0.02462464,340.5816,183.2738,177.6035
1615,11:11:25.4939,H,-1.374493,1.035366,-1.158511,-0.9999637,0.004615472,0.007162518,8.724842E-05,359.471,359.1793,359.9938
1615,11:11:25.4939,T,-1.373417,0.8472031,-1.336223,0.1690319,-0.985176,-0.01583342,0.02461587,340.5932,183.2733,177.5986
1616,11:11:25.5058,H,-1.374515,1.035351,-1.158512,-0.9999633,0.00473726,0.007132136,8.783246E-05,359.4571,359.1827,359.9938
1616,11:11:25.5058,T,-1.373166,0.8470664,-1.336104,0.1690358,-0.9851783,-0.01573145,0.0245589,340.5923,183.2644,177.612
1617,11:11:25.5168,H,-1.374517,1.035391,-1.158523,-0.9999627,0.004765836,0.007208163,-4.324077E-05,359.4539,359.174,0.008891799
1617,11:11:25.5168,T,-1.373146,0.8470377,-1.33609,0.168949,-0.9851927,-0.01568972,0.02460618,340.6024,183.2689,177.6164
1618,11:11:25.5278,H,-1.374517,1.035402,-1.15853,-0.9999624,0.004857742,0.007190037,-5.004511E-05,359.4434,359.176,0.009737371
1618,11:11:25.5278,T,-1.372926,0.8470666,-1.336028,0.1689799,-0.9851886,-0.01568164,0.02456223,340.5986,183.2636,177.6181
1619,11:11:25.5387,H,-1.374502,1.035455,-1.158552,-0.999962,0.004912294,0.007205917,-3.151733E-05,359.4371,359.1742,0.007668117
1619,11:11:25.5387,T,-1.372881,0.8470615,-1.336016,0.1689525,-0.9851934,-0.01561642,0.02460315,340.6017,183.267,177.6252
1620,11:11:25.5497,H,-1.374385,1.035474,-1.158548,-0.9999613,0.0050606,0.007206162,-8.672653E-05,359.4202,359.1741,0.01411733
1620,11:11:25.5497,T,-1.37323,0.8473492,-1.336323,0.1690814,-0.9851726,-0.01554037,0.02459437,340.5864,183.2649,177.6339
1621,11:11:25.5607,H,-1.37439,1.035495,-1.158557,-0.9999606,0.005239537,0.007163457,-3.524795E-05,359.3996,359.1791,0.008340404
1621,11:11:25.5607,T,-1.373185,0.8473635,-1.336307,0.1692852,-0.9851367,-0.01549428,0.02466213,340.5628,183.2728,177.6372
1622,11:11:25.5716,H,-1.374358,1.035547,-1.158544,-0.9999602,0.005407158,0.007096447,-0.0001100056,359.3805,359.1867,0.01700327
1622,11:11:25.5716,T,-1.373388,0.8474942,-1.336409,0.1693087,-0.985134,-0.0154601,0.02462918,340.5598,183.2683,177.6418
1623,11:11:25.5836,H,-1.374351,1.035574,-1.15856,-0.9999595,0.005507385,0.007112851,-9.960761E-05,359.369,359.1848,0.01590361
1623,11:11:25.5836,T,-1.373351,0.8474826,-1.336405,0.1692792,-0.9851393,-0.01542053,0.02464369,340.5632,183.2691,177.6464
1624,11:11:25.5936,H,-1.374359,1.035605,-1.158583,-0.9999592,0.005638604,0.007064848,-0.0001199661,359.354,359.1903,0.01831256
1624,11:11:25.5936,T,-1.37337,0.8474215,-1.336454,0.1691823,-0.9851557,-0.01541811,0.02465609,340.5745,183.2702,177.6469
1625,11:11:25.6056,H,-1.374315,1.035646,-1.15856,-0.9999586,0.005741672,0.007050009,-0.0002283384,359.3423,359.1919,0.03080514
1625,11:11:25.6056,T,-1.373207,0.8472195,-1.336207,0.1692872,-0.9851376,-0.01539829,0.02467149,340.5623,183.272,177.6485
1626,11:11:25.6165,H,-1.374304,1.035655,-1.158564,-0.9999581,0.005814633,0.007069676,-0.0002768259,359.3339,359.1896,0.03643363
1626,11:11:25.6165,T,-1.373168,0.847185,-1.336178,0.1693517,-0.9851277,-0.01534352,0.02466032,340.5545,183.2698,177.655
1627,11:11:25.6275,H,-1.374224,1.035623,-1.158541,-0.9999576,0.005911845,0.007060328,-0.0002288566,359.3228,359.1907,0.03100909
1627,11:11:25.6275,T,-1.372936,0.8469231,-1.335864,0.1694288,-0.9851106,-0.01536972,0.02479711,340.546,183.287,177.6487
1628,11:11:25.6385,H,-1.374192,1.03566,-1.158498,-0.9999576,0.005960959,0.007010043,-0.0003943176,359.3173,359.1964,0.04997549
1628,11:11:25.6385,T,-1.372907,0.8468919,-1.335827,0.1693983,-0.9851142,-0.01531387,0.02489696,340.5496,183.2977,177.6535
1629,11:11:25.6494,H,-1.374141,1.035674,-1.158478,-0.9999571,0.006060126,0.006991604,-0.0003775289,359.3059,359.1985,0.04811855
1629,11:11:25.6504,T,-1.373294,0.8471756,-1.336116,0.1693584,-0.9851215,-0.01515541,0.02497226,340.5539,183.3033,177.6711
1630,11:11:25.6604,H,-1.374125,1.03567,-1.158444,-0.9999575,0.006080331,0.006928829,-0.00028327,359.3035,359.2058,0.03728942
1630,11:11:25.6604,T,-1.373267,0.8471584,-1.336099,0.1693706,-0.9851202,-0.01514804,0.02494569,340.5524,183.3,177.6724
1631,11:11:25.6714,H,-1.374079,1.035647,-1.158395,-0.9999575,0.006149776,0.006869422,-6.807371E-05,359.2953,359.2127,0.01264226
1631,11:11:25.6714,T,-1.373145,0.8470627,-1.335984,0.1695823,-0.9850867,-0.0151942,0.02480371,340.5276,183.2848,177.6689
1632,11:11:25.6833,H,-1.374076,1.035648,-1.158383,-0.9999585,0.006054569,0.006805628,5.637099E-05,359.3062,359.2201,-0.001737738
1632,11:11:25.6833,T,-1.373119,0.8470474,-1.335958,0.1696179,-0.9850826,-0.01522702,0.02470288,340.5233,183.2735,177.6669
1633,11:11:25.6943,H,-1.374094,1.035663,-1.158396,-0.9999588,0.005974211,0.006845378,0.0001201972,359.3153,359.2156,359.9909
1633,11:11:25.6943,T,-1.37279,0.8468502,-1.335746,0.1695744,-0.9850869,-0.01525732,0.02481242,340.5287,183.2871,177.6612
1634,11:11:25.7053,H,-1.374086,1.035631,-1.158436,-0.9999595,0.005921904,0.006774209,-2.05982E-05,359.3214,359.2237,0.006957752
1634,11:11:25.7053,T,-1.372366,0.8466661,-1.335589,0.1696698,-0.985069,-0.01525146,0.0248754,340.5178,183.2948,177.6602
1635,11:11:25.7163,H,-1.374052,1.035635,-1.158424,-0.9999596,0.005906061,0.006780146,2.123565E-06,359.3232,359.223,0.004345669
1635,11:11:25.7163,T,-1.372316,0.8466589,-1.335568,0.1696816,-0.9850641,-0.01530267,0.02495166,340.5168,183.3051,177.6524
1636,11:11:25.7272,H,-1.374078,1.035653,-1.158427,-0.9999604,0.00590136,0.00667747,-6.39412E-05,359.3238,359.2347,0.01184327
1636,11:11:25.7272,T,-1.372013,0.8465389,-1.33544,0.169897,-0.9850274,-0.01536971,0.02489486,340.4919,183.3004,177.6446
1637,11:11:25.7382,H,-1.374066,1.035658,-1.158445,-0.9999604,0.005868052,0.006695739,-0.0002040399,359.3277,359.2325,0.02788465
1637,11:11:25.7382,T,-1.371956,0.8465146,-1.335426,0.1699048,-0.9850247,-0.01532457,0.02497942,340.491,183.3097,177.6483
1638,11:11:25.7502,H,-1.374029,1.035653,-1.158431,-0.9999604,0.005913611,0.006652805,-7.366513E-05,359.3224,359.2375,0.01295025
1638,11:11:25.7502,T,-1.3724,0.8468252,-1.335826,0.1698738,-0.9850323,-0.01524413,0.02494031,340.4942,183.3032,177.6588
1639,11:11:25.7611,H,-1.374012,1.035662,-1.15842,-0.9999604,0.005914027,0.00665744,4.411367E-05,359.3223,359.2371,-0.0005431606
1639,11:11:25.7611,T,-1.372348,0.8467996,-1.335822,0.16978,-0.9850482,-0.01523191,0.02495435,340.5051,183.3043,177.6604
1640,11:11:25.7721,H,-1.373974,1.035652,-1.158371,-0.9999612,0.005833743,0.006604958,0.0001407811,359.3314,359.2432,359.9883
1640,11:11:25.7721,T,-1.372304,0.8467915,-1.335772,0.1696998,-0.9850604,-0.01522017,0.02502709,340.5146,183.3125,177.6607
1641,11:11:25.7831,H,-1.373981,1.035622,-1.158401,-0.9999607,0.005911629,0.006612339,0.0002183695,359.3224,359.2424,359.9795
1641,11:11:25.7831,T,-1.37244,0.8467593,-1.335798,0.1696748,-0.9850622,-0.01531046,0.02507141,340.5179,183.3195,177.6491
1642,11:11:25.7940,H,-1.374008,1.035636,-1.158391,-0.9999605,0.005948012,0.006596982,7.119116E-05,359.3184,359.244,-0.003661393
1642,11:11:25.7940,T,-1.372397,0.84674,-1.335786,0.1698681,-0.9850294,-0.01531435,0.02504703,340.4954,183.3174,177.6483
1643,11:11:25.8050,H,-1.373988,1.035643,-1.158441,-0.9999608,0.005912507,0.006595818,-1.858932E-05,359.3225,359.2441,0.006599379
1643,11:11:25.8050,T,-1.37325,0.8473485,-1.336385,0.1697877,-0.985042,-0.01527294,0.02512099,340.5047,183.3251,177.652
1644,11:11:25.8160,H,-1.373982,1.035655,-1.158367,-0.9999614,0.005889599,0.006521455,-9.64357E-05,359.3252,359.2526,0.01545268
1644,11:11:25.8160,T,-1.373237,0.8473598,-1.336389,0.1698367,-0.9850346,-0.0152412,0.02510111,340.4989,183.3223,177.656
1645,11:11:25.8270,H,-1.37394,1.035672,-1.158332,-0.9999611,0.005958592,0.006501071,-0.0001813976,359.3174,359.2549,0.02522658
1645,11:11:25.8270,T,-1.3728,0.8469595,-1.335962,0.1699471,-0.9850106,-0.01530949,0.02525381,340.4867,183.3424,177.6442
1646,11:11:25.8389,H,-1.373969,1.035661,-1.158363,-0.9999618,0.005974451,0.006391936,-0.0001383417,359.3155,359.2674,0.02022969
1646,11:11:25.8389,T,-1.372776,0.846936,-1.335935,0.1698593,-0.9850248,-0.01531046,0.02528978,340.4969,183.3464,177.6438
1647,11:11:25.8503,H,-1.373951,1.035675,-1.158338,-0.9999613,0.006000391,0.00644112,-0.0001122864,359.3125,359.2618,0.0172967
1647,11:11:25.8503,T,-1.372601,0.846765,-1.335883,0.1698499,-0.9850259,-0.01525733,0.02534187,340.498,183.3515,177.6491
1648,11:11:25.8613,H,-1.37396,1.035693,-1.158325,-0.9999617,0.006063453,0.006317926,-2.311355E-05,359.3052,359.276,0.007038858
1648,11:11:25.8613,T,-1.372565,0.8467435,-1.335862,0.1698689,-0.9850224,-0.01520547,0.02538006,340.4957,183.3551,177.6544
1649,11:11:25.8723,H,-1.373907,1.035728,-1.158341,-0.9999617,0.006131066,0.006252529,7.305393E-05,359.2974,359.2835,-0.003978512
1649,11:11:25.8723,T,-1.372692,0.846763,-1.335821,0.1699355,-0.9850096,-0.01534837,0.02534745,340.4884,183.3544,177.6377
1650,11:11:25.8832,H,-1.373915,1.035716,-1.158336,-0.9999613,0.006187546,0.006258097,-3.702369E-06,359.291,359.2828,0.004861861
1650,11:11:25.8832,T,-1.372571,0.8466902,-1.335702,0.1700221,-0.9849949,-0.01529147,0.02537243,340.4782,183.3565,177.6436
1651,11:11:25.8942,H,-1.373844,1.035693,-1.158343,-0.9999618,0.006271641,0.006103378,-2.604271E-05,359.2813,359.3005,0.007371098
1651,11:11:25.8942,T,-1.372537,0.8466741,-1.335654,0.1700965,-0.9849823,-0.01531338,0.02534804,340.4695,183.3543,177.6411
