Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
2281,13:14:33.2334,Trigger,0,0,0,0,0,0,0,0,0,0
2282,13:14:33.2444,H,-1.189051,1.437271,-0.914669,-0.9994014,-0.01717482,-0.005099489,0.02959633,1.984603,0.5260833,356.6166
2282,13:14:33.2444,T,-1.187974,1.327669,-1.150384,0.2336795,-0.9712021,-0.04621937,0.004910201,333.035,182.0021,174.0706
2283,13:14:33.2553,H,-1.189006,1.437266,-0.9146705,-0.9993999,-0.01717432,-0.005206782,0.0296296,1.984926,0.5383141,356.613
2283,13:14:33.2553,T,-1.188107,1.327711,-1.150455,0.2336928,-0.9711939,-0.04631278,0.005021231,333.0343,182.0189,174.0556
2284,13:14:33.2663,H,-1.188906,1.437233,-0.9146583,-0.9993978,-0.01723289,-0.005246886,0.02965896,1.991788,0.5426539,356.6097
2284,13:14:33.2663,T,-1.188127,1.327712,-1.150485,0.2336654,-0.9712057,-0.04622082,0.00486906,333.0364,181.9969,174.0718
2285,13:14:33.2773,H,-1.188902,1.437212,-0.9146758,-0.999396,-0.01713659,-0.005391874,0.02974796,1.981298,0.5594171,356.5998
2285,13:14:33.2773,T,-1.18822,1.32771,-1.150479,0.2336411,-0.9712086,-0.04627286,0.004955513,333.0399,182.0091,174.0628
2286,13:14:33.2883,H,-1.188841,1.437225,-0.914632,-0.9993981,-0.01715,-0.005387636,0.02966915,1.982775,0.5590425,356.6088
2286,13:14:33.2883,T,-1.188227,1.327714,-1.150499,0.2336921,-0.9712017,-0.04616405,0.004926865,333.0335,182.0027,174.077
2287,13:14:33.2992,H,-1.188808,1.437242,-0.914655,-0.9993988,-0.0171745,-0.005419496,0.02962714,1.985666,0.5626943,356.6137
2287,13:14:33.2992,T,-1.188268,1.32779,-1.150505,0.2337297,-0.9711925,-0.04616066,0.004973523,333.0294,182.0087,174.0758
2288,13:14:33.3102,H,-1.188772,1.437235,-0.9146833,-0.9994009,-0.01707992,-0.005331844,0.02962872,1.974536,0.5529653,356.6133
2288,13:14:33.3102,T,-1.188285,1.327803,-1.150517,0.2337416,-0.9711887,-0.04617857,0.004986987,333.0281,182.011,174.0731
