Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1663,13:42:11.2689,Trigger,0,0,0,0,0,0,0,0,0,0
1664,13:42:11.2799,H,-1.313932,0.9311115,-1.218109,-0.9863307,0.1537836,-0.05436731,-0.02337589,342.1874,6.032741,1.769059
1664,13:42:11.2799,T,-1.342341,0.7493074,-1.375537,0.1725894,-0.9835808,0.05243769,0.005665431,340.1167,179.5762,186.1777
1665,13:42:11.2908,H,-1.314009,0.9311657,-1.218042,-0.9862642,0.1542063,-0.05424604,-0.02368098,342.1368,6.012652,1.805104
1665,13:42:11.2908,T,-1.34197,0.74911,-1.375327,0.1726665,-0.9835668,0.05245715,0.005563247,340.1084,179.563,186.1824
1666,13:42:11.3018,H,-1.314103,0.9312087,-1.218035,-0.9862112,0.1545269,-0.0541288,-0.0240616,342.0976,5.991596,1.850666
1666,13:42:11.3018,T,-1.34159,0.7489115,-1.375099,0.1727736,-0.983546,0.05249066,0.005589967,340.0958,179.5648,186.1862
1667,13:42:11.3138,H,-1.314212,0.9312803,-1.218012,-0.9861253,0.1550733,-0.05397666,-0.02440812,342.0324,5.966971,1.891564
1667,13:42:11.3138,T,-1.340968,0.7485844,-1.374646,0.1730257,-0.9834915,0.05266864,0.005711274,340.0658,179.5738,186.2057
1668,13:42:11.3247,H,-1.314347,0.9313642,-1.21803,-0.986034,0.155578,-0.0539009,-0.0250454,341.9703,5.94593,1.965866
1668,13:42:11.3247,T,-1.340253,0.7481706,-1.374216,0.1732195,-0.9834574,0.05265562,0.005819823,340.0426,179.5858,186.2024
1669,13:42:11.3357,H,-1.314449,0.9314531,-1.217936,-0.9859116,0.1562644,-0.05385935,-0.02566867,341.8871,5.929102,2.03688
1669,13:42:11.3357,T,-1.339833,0.7479718,-1.373973,0.173428,-0.9834149,0.05274582,0.005973967,340.0175,179.601,186.2106
1670,13:42:11.3467,H,-1.314544,0.9315788,-1.217919,-0.985773,0.1570637,-0.05364556,-0.02654574,341.7896,5.886763,2.140812
1670,13:42:11.3467,T,-1.344397,0.7502269,-1.37611,0.1734772,-0.9834317,0.05226577,0.006005066,340.0114,179.6145,186.1523
1671,13:42:11.3576,H,-1.314702,0.9316819,-1.217893,-0.9856206,0.1578754,-0.05356257,-0.02754167,341.6898,5.857549,2.256449
1671,13:42:11.3576,T,-1.344105,0.7500616,-1.375921,0.1736449,-0.9833942,0.05241367,0.006008786,339.9919,179.6107,186.1705
1672,13:42:11.3686,H,-1.314831,0.9318405,-1.217884,-0.9854386,0.1587983,-0.05356819,-0.02871209,341.5759,5.835268,2.390673
1672,13:42:11.3686,T,-1.343643,0.7500873,-1.375846,0.173593,-0.9833959,0.05256655,0.005897399,339.9987,179.5944,186.1911
1673,13:42:11.3806,H,-1.315031,0.9320394,-1.217873,-0.9852577,0.1597333,-0.05351316,-0.02981749,341.4611,5.806712,2.518404
1673,13:42:11.3806,T,-1.343325,0.7499622,-1.375725,0.1737795,-0.9833556,0.0526972,0.005953979,339.9767,179.5972,186.2061
1674,13:42:11.3916,H,-1.315174,0.9322225,-1.217872,-0.9850582,0.1607192,-0.05350129,-0.03110098,341.3393,5.779512,2.666406
1674,13:42:11.3916,T,-1.342353,0.7497269,-1.375409,0.1739075,-0.9833304,0.05275655,0.005855559,339.9625,179.5832,186.2157
1675,13:42:11.4025,H,-1.315394,0.9323879,-1.21795,-0.9848575,0.1617808,-0.05329442,-0.03228649,341.2098,5.730515,2.806354
1675,13:42:11.4025,T,-1.347265,0.7531292,-1.377502,0.1737937,-0.9833154,0.05335869,0.006282769,339.9733,179.6225,186.2788
1676,13:42:11.4135,H,-1.315577,0.9325378,-1.217989,-0.9846856,0.1626277,-0.05322057,-0.03337856,341.1055,5.699176,2.933817
1676,13:42:11.4135,T,-1.347065,0.7531182,-1.377391,0.1737887,-0.9833102,0.05348199,0.006184762,339.9745,179.6081,186.2957
1677,13:42:11.4245,H,-1.315738,0.9327334,-1.218047,-0.9845387,0.163405,-0.05294247,-0.03434387,341.0106,5.645762,3.050717
1677,13:42:11.4245,T,-1.355756,0.7578709,-1.38161,0.1736394,-0.9833384,0.05343237,0.006327671,339.9909,179.6273,186.2863
1678,13:42:11.4354,H,-1.315911,0.9328982,-1.21815,-0.9844054,0.1641143,-0.05262979,-0.03525152,340.9241,5.589234,3.161919
1678,13:42:11.4354,T,-1.355793,0.7579532,-1.381566,0.1739373,-0.9832898,0.05336525,0.006253051,339.9568,179.6178,186.2806
1679,13:42:11.4464,H,-1.316148,0.9330415,-1.218197,-0.984284,0.1648303,-0.05233078,-0.03574206,340.8392,5.542531,3.223099
1679,13:42:11.4464,T,-1.355044,0.7574699,-1.381851,0.1740617,-0.983282,0.05312388,0.006075375,339.9434,179.6007,186.2556
1680,13:42:11.4574,H,-1.31636,0.9332091,-1.218282,-0.9841837,0.1654237,-0.05206158,-0.03615291,340.7689,5.50109,3.274833
1680,13:42:11.4574,T,-1.355066,0.7575169,-1.381884,0.1742076,-0.9832708,0.05285095,0.006096188,339.9262,179.608,186.2228
1681,13:42:11.4683,H,-1.316624,0.933313,-1.218337,-0.9840997,0.1660414,-0.05163597,-0.03621663,340.6983,5.447833,3.288187
1681,13:42:11.4683,T,-1.357242,0.7584307,-1.383198,0.1742906,-0.983282,0.05235792,0.006155782,339.916,179.6251,186.1624
1682,13:42:11.4793,H,-1.316872,0.9334235,-1.218373,-0.9840392,0.1665126,-0.0512116,-0.03630264,340.6445,5.394473,3.304937
1682,13:42:11.4793,T,-1.357339,0.7584558,-1.38329,0.1743456,-0.9832836,0.05215346,0.006090073,339.9099,179.6212,186.1393
