Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1652,13:13:10.2100,Trigger,0,0,0,0,0,0,0,0,0,0
1653,13:13:10.2210,H,-1.316635,0.8428733,-1.320457,-0.9994668,-0.02621398,0.008235293,0.01763774,2.987008,359.0024,357.952
1653,13:13:10.2220,T,-1.303179,0.6242549,-1.562425,0.20553,-0.9776568,-0.02937459,-0.03289155,336.1836,176.7266,177.2485
1654,13:13:10.2330,H,-1.31665,0.8428898,-1.320433,-0.999471,-0.02615398,0.008099482,0.01755247,2.980493,359.0184,357.9622
1654,13:13:10.2330,T,-1.303395,0.6243212,-1.562532,0.20557,-0.9776499,-0.02936926,-0.03285007,336.179,176.7316,177.2482
1655,13:13:10.2439,H,-1.316653,0.8428934,-1.320408,-0.9994732,-0.02609894,0.008044436,0.01753539,2.974314,359.0249,357.9644
1655,13:13:10.2439,T,-1.303347,0.6242889,-1.562481,0.2054714,-0.9776718,-0.02939462,-0.03279287,336.1906,176.7391,177.2434
1656,13:13:10.2549,H,-1.316637,0.8429067,-1.320412,-0.9994738,-0.02614182,0.00790138,0.01750288,2.979551,359.0413,357.9685
1656,13:13:10.2549,T,-1.303566,0.6244034,-1.562621,0.2054743,-0.9776748,-0.02937814,-0.03269753,336.1906,176.7504,177.2429
1657,13:13:10.2659,H,-1.316614,0.8428749,-1.320362,-0.9994745,-0.02612927,0.007860144,0.01750281,2.978196,359.046,357.9687
1657,13:13:10.2659,T,-1.303501,0.6243482,-1.562568,0.2054766,-0.9776743,-0.02939817,-0.03268226,336.1903,176.7527,177.2401
1658,13:13:10.2768,H,-1.316616,0.8428643,-1.320336,-0.999475,-0.02612258,0.007753643,0.01752723,2.977623,359.0582,357.9662
1658,13:13:10.2768,T,-1.303629,0.6243994,-1.562619,0.2054487,-0.9776793,-0.02944983,-0.03266219,336.1935,176.7565,177.2332
1659,13:13:10.2888,H,-1.316651,0.8428672,-1.320306,-0.999477,-0.02606225,0.007693388,0.01752776,2.97083,359.0652,357.9664
1659,13:13:10.2888,T,-1.303849,0.624451,-1.562728,0.2054324,-0.9776823,-0.02951402,-0.03261608,336.1953,176.7638,177.2241
1660,13:13:10.2988,H,-1.316667,0.8428836,-1.320288,-0.9994777,-0.02605263,0.007549952,0.01756863,2.969982,359.0816,357.9621
1660,13:13:10.2988,T,-1.303832,0.6244703,-1.56264,0.2054615,-0.9776789,-0.02955161,-0.03250189,336.1921,176.7788,177.2166
1661,13:13:10.3108,H,-1.316622,0.8429265,-1.320246,-0.9994823,-0.02594324,0.007516865,0.01748518,2.95759,359.0858,357.9719
1661,13:13:10.3108,T,-1.303742,0.6244546,-1.562554,0.2055473,-0.9776615,-0.02950392,-0.03252504,336.1821,176.7749,177.2232
1662,13:13:10.3217,H,-1.316653,0.8429528,-1.320207,-0.9994839,-0.02595952,0.007468973,0.01738867,2.959641,359.0916,357.9831
1662,13:13:10.3217,T,-1.303744,0.6244723,-1.562555,0.2055863,-0.9776555,-0.02951805,-0.03244476,336.1778,176.7851,177.2195
1663,13:13:10.3327,H,-1.316636,0.8429738,-1.320133,-0.9994915,-0.02577774,0.007468842,0.01722548,2.938955,359.0925,358.002
1663,13:13:10.3327,T,-1.303733,0.624491,-1.562566,0.2056474,-0.9776431,-0.02949887,-0.03244936,336.1707,176.7842,177.2221
1664,13:13:10.3437,H,-1.31655,0.8430533,-1.320114,-0.9994897,-0.02583575,0.007521318,0.01721563,2.945508,359.0863,358.0029
1664,13:13:10.3437,T,-1.303731,0.6245177,-1.562564,0.2055667,-0.9776655,-0.0294349,-0.03234518,336.1806,176.7952,177.2271
1665,13:13:10.3546,H,-1.31659,0.8429536,-1.320222,-0.999493,-0.02575393,0.007527139,0.017146,2.936182,359.0861,358.011
1665,13:13:10.3546,T,-1.303804,0.6246524,-1.562671,0.205607,-0.9776593,-0.02945185,-0.03226007,336.1761,176.8061,177.2229
1666,13:13:10.3656,H,-1.316579,0.8429192,-1.320211,-0.9994928,-0.02566052,0.007568311,0.01728177,2.92527,359.0811,357.9954
1666,13:13:10.3656,T,-1.303664,0.6245701,-1.562654,0.2056403,-0.9776512,-0.02943793,-0.03230507,336.1721,176.8003,177.2259
