Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1763,10:45:24.6202,Trigger,0,0,0,0,0,0,0,0,0,0
1764,10:45:24.6311,H,-1.271983,1.091557,-1.123582,-0.9998252,-0.01170235,0.01424151,-0.003118868,1.34597,358.3719,0.3383311
1764,10:45:24.6311,T,-1.271201,0.8677431,-1.29965,0.063388,-0.9979283,0.008088022,0.007467272,352.7249,180.8016,180.8777
1765,10:45:24.6421,H,-1.27204,1.091684,-1.123844,-0.9998331,-0.01095476,0.01425316,-0.00328549,1.260581,358.3705,0.3586234
1765,10:45:24.6421,T,-1.271117,0.8676174,-1.299687,0.06308118,-0.9979492,0.008222321,0.00710424,352.7603,180.759,180.8961
1766,10:45:24.6531,H,-1.272053,1.091805,-1.124074,-0.999839,-0.01029099,0.01427497,-0.003503617,1.184887,358.368,0.3846715
1766,10:45:24.6531,T,-1.27063,0.8672346,-1.299173,0.06295208,-0.997956,0.008294496,0.007216617,352.775,180.7716,180.9037
1767,10:45:24.6640,H,-1.272091,1.091902,-1.124299,-0.9998422,-0.009776857,0.01431933,-0.003852219,1.126562,358.3632,0.4254057
1767,10:45:24.6640,T,-1.270505,0.867129,-1.299154,0.06260803,-0.9979784,0.008276511,0.007137722,352.8146,180.7629,180.9024
1768,10:45:24.6750,H,-1.272104,1.092008,-1.124435,-0.9998459,-0.009187724,0.01437629,-0.004147166,1.059566,358.3567,0.4601047
1768,10:45:24.6750,T,-1.272309,0.8670484,-1.299713,0.06261981,-0.9979804,0.007871406,0.007211453,352.8134,180.7743,180.8552
1769,10:45:24.6860,H,-1.272154,1.092157,-1.124575,-0.9998507,-0.008558127,0.01430618,-0.004536941,0.9880295,358.3649,0.5058694
1769,10:45:24.6860,T,-1.272281,0.8669451,-1.299649,0.06254897,-0.9979827,0.007927994,0.007445288,352.8214,180.8009,180.86
1770,10:45:24.6979,H,-1.272199,1.092281,-1.124726,-0.9998555,-0.007817145,0.01427169,-0.004936388,0.90376,358.3688,0.5528797
1770,10:45:24.6979,T,-1.27352,0.8673161,-1.300145,0.06266405,-0.9979764,0.007472259,0.00778288,352.8082,180.8431,180.805
1771,10:45:24.7089,H,-1.272241,1.09242,-1.124864,-0.999859,-0.007133608,0.01425596,-0.005279918,0.82599,358.3705,0.5933675
1771,10:45:24.7089,T,-1.273581,0.8672413,-1.300112,0.06272276,-0.9979721,0.007528879,0.007808684,352.8014,180.8456,180.8113
1772,10:45:24.7199,H,-1.272322,1.092582,-1.125001,-0.9998614,-0.006284957,0.01433177,-0.005695977,0.7294774,358.3617,0.6423641
1772,10:45:24.7199,T,-1.274499,0.8678554,-1.300687,0.06291609,-0.9979613,0.007317095,0.007826793,352.7794,180.8491,180.7866
1773,10:45:24.7309,H,-1.272385,1.092754,-1.125121,-0.9998644,-0.00551223,0.01429776,-0.006027422,0.6414582,358.3653,0.6816256
1773,10:45:24.7309,T,-1.274594,0.8678309,-1.300683,0.06298994,-0.9979555,0.007398106,0.00790258,352.7708,180.8571,180.7953
