Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1632,17:29:39.0904,Trigger,0,0,0,0,0,0,0,0,0,0
1633,17:29:39.1014,H,-1.360711,0.9972266,-1.17072,-0.9986305,-0.02876264,0.04275551,0.009055736,3.248814,355.0634,358.8208
1633,17:29:39.1014,T,-1.364282,0.8115579,-1.369897,0.2106791,-0.9774702,0.01051648,-0.007471262,335.6878,178.803,181.4907
1634,17:29:39.1134,H,-1.360772,0.9971921,-1.170561,-0.9986212,-0.02901051,0.04283531,0.008902399,3.277866,355.0544,358.8369
1634,17:29:39.1134,T,-1.36438,0.8115157,-1.369798,0.2108047,-0.9774438,0.01047247,-0.007445288,335.673,178.8071,181.4848
1635,17:29:39.1244,H,-1.360791,0.997128,-1.170504,-0.9986155,-0.02924794,0.04283587,0.008763346,3.305744,355.0544,358.8516
1635,17:29:39.1244,T,-1.364532,0.8114463,-1.369673,0.2108,-0.9774449,0.01049095,-0.007401126,335.6735,178.8121,181.4859
1636,17:29:39.1353,H,-1.360798,0.9970771,-1.170417,-0.9986079,-0.02956739,0.04284549,0.008501318,3.343615,355.0537,358.88
1636,17:29:39.1353,T,-1.364457,0.811461,-1.369627,0.2108262,-0.977439,0.01048811,-0.007439282,335.6705,178.8074,181.4866
1637,17:29:39.1463,H,-1.360836,0.9970369,-1.170323,-0.9986015,-0.02976014,0.04286567,0.008479452,3.365776,355.0512,358.8815
1637,17:29:39.1463,T,-1.364486,0.8114651,-1.369569,0.2108949,-0.9774235,0.0105462,-0.00744729,335.6625,178.8047,181.4941
1638,17:29:39.1574,H,-1.360858,0.9969767,-1.170267,-0.9985944,-0.02996203,0.04287596,0.008557092,3.388502,355.0495,358.8716
1638,17:29:39.1574,T,-1.364461,0.8114893,-1.369603,0.2109383,-0.9774139,0.01049734,-0.007547658,335.6575,178.7936,181.4909
1639,17:29:39.1683,H,-1.360905,0.9969543,-1.170252,-0.9985889,-0.03016528,0.04286419,0.008549483,3.411831,355.0506,358.8714
1639,17:29:39.1683,T,-1.364488,0.8114778,-1.369552,0.2109993,-0.9774006,0.01047745,-0.007590968,335.6504,178.7886,181.4897
1640,17:29:39.1803,H,-1.36091,0.9969124,-1.170177,-0.9985788,-0.03022759,0.04302773,0.008681462,3.418126,355.0313,358.8554
1640,17:29:39.1803,T,-1.36437,0.8115782,-1.36969,0.21101,-0.9773973,0.01052852,-0.007649632,335.6494,178.78,181.4976
1641,17:29:39.1913,H,-1.360913,0.9969147,-1.170089,-0.9985735,-0.03041404,0.0430039,0.008754853,3.439142,355.0335,358.8462
1641,17:29:39.1913,T,-1.364394,0.8115608,-1.36967,0.2110085,-0.977398,0.0105363,-0.007578197,335.6494,178.7886,181.4966
1642,17:29:39.2023,H,-1.360922,0.9968592,-1.170033,-0.998571,-0.03035634,0.04312665,0.008641438,3.432958,355.0199,358.859
1642,17:29:39.2023,T,-1.364198,0.8115606,-1.369707,0.2110524,-0.9773887,0.01055043,-0.007542721,335.6442,178.7925,181.4975
1643,17:29:39.2132,H,-1.3609,0.9968399,-1.169965,-0.9985617,-0.03051564,0.04323589,0.008595563,3.451306,355.0072,358.8631
1643,17:29:39.2132,T,-1.364214,0.8115343,-1.36969,0.2111138,-0.9773752,0.01060186,-0.007502112,335.637,178.796,181.5029
1644,17:29:39.2242,H,-1.360905,0.9967757,-1.169921,-0.9985564,-0.03062621,0.04328564,0.008571401,3.464033,355.0015,358.8651
1644,17:29:39.2242,T,-1.364238,0.8114864,-1.369601,0.2111246,-0.9773729,0.01060256,-0.00748919,335.6357,178.7975,181.5026
1645,17:29:39.2352,H,-1.360871,0.9967293,-1.169984,-0.9985455,-0.03075395,0.04345357,0.008540507,3.478627,354.9821,358.8675
1645,17:29:39.2352,T,-1.364446,0.8113967,-1.369562,0.2111948,-0.977358,0.01071928,-0.007292616,335.6273,178.8185,181.5119
1646,17:29:39.2461,H,-1.360883,0.9966626,-1.16996,-0.9985415,-0.03091276,0.04344276,0.008488396,3.497089,354.9833,358.8727
1646,17:29:39.2461,T,-1.364488,0.8113712,-1.369584,0.2111624,-0.9773657,0.01076851,-0.0071325,335.631,178.8369,181.5137
1647,17:29:39.2572,H,-1.360818,0.9966345,-1.169943,-0.9985348,-0.03112906,0.04343131,0.008548276,3.521574,354.9841,358.8647
1647,17:29:39.2572,T,-1.364641,0.8111038,-1.369382,0.2111123,-0.9773759,0.0108807,-0.007049495,335.6368,178.8443,181.5251
1648,17:29:39.2682,H,-1.360806,0.9965736,-1.169919,-0.9985308,-0.03137079,0.04333473,0.008616013,3.54903,354.9946,358.8561
1648,17:29:39.2682,T,-1.36467,0.8110616,-1.369384,0.2110504,-0.9773884,0.01093875,-0.00706533,335.6442,178.8409,181.5326
1649,17:29:39.2792,H,-1.360772,0.9965361,-1.169942,-0.9985305,-0.03154692,0.04322459,0.008565723,3.56958,355.0071,358.8613
1649,17:29:39.2792,T,-1.364543,0.8111906,-1.369492,0.2109971,-0.9773994,0.01099175,-0.007054777,335.6505,178.8409,181.5387
1650,17:29:39.2912,H,-1.360755,0.9965485,-1.16996,-0.9985304,-0.03169876,0.04311723,0.008555153,3.587145,355.0193,358.8622
1650,17:29:39.2912,T,-1.364576,0.8111945,-1.369477,0.2109954,-0.977398,0.01106472,-0.007188688,335.651,178.8225,181.5512
1651,17:29:39.3021,H,-1.360724,0.996544,-1.169957,-0.9985338,-0.03166814,0.0430558,0.008579363,3.583588,355.0263,358.8598
1651,17:29:39.3021,T,-1.364648,0.8112528,-1.369485,0.2110523,-0.9773842,0.01117794,-0.007220746,335.6445,178.8154,181.5661
1652,17:29:39.3131,H,-1.36066,0.9965636,-1.169916,-0.9985382,-0.03157949,0.04297601,0.008798428,3.572438,355.0348,358.8354
1652,17:29:39.3131,T,-1.364664,0.8112708,-1.36933,0.2111465,-0.9773623,0.0111846,-0.007422236,335.6338,178.7903,181.5725
1653,17:29:39.3241,H,-1.36064,0.9965817,-1.169904,-0.9985438,-0.03155217,0.04282095,0.009004967,3.568467,355.0519,358.8124
1653,17:29:39.3241,T,-1.364677,0.8112836,-1.369292,0.2111542,-0.97736,0.01110236,-0.007623289,335.6331,178.7677,181.5677
1654,17:29:39.3350,H,-1.360596,0.9966131,-1.169902,-0.9985481,-0.03144401,0.04273869,0.009300852,3.554715,355.0605,358.7793
1654,17:29:39.3350,T,-1.364419,0.8114748,-1.369442,0.2111331,-0.9773641,0.01107818,-0.007724264,335.6357,178.756,181.5674
1655,17:29:39.3460,H,-1.360556,0.9966666,-1.169944,-0.9985513,-0.03134603,0.04270189,0.009454332,3.542782,355.0643,358.7623
