Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1670,10:51:40.4545,Trigger,0,0,0,0,0,0,0,0,0,0
1671,10:51:40.5233,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1671,10:51:40.5233,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1672,10:51:40.5233,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1672,10:51:40.5233,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1673,10:51:40.5243,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1673,10:51:40.5243,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1674,10:51:40.5253,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1674,10:51:40.5253,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1675,10:51:40.5253,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1675,10:51:40.5253,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1676,10:51:40.5263,H,-1.277263,1.115018,-1.062595,-0.9988883,0.04159504,0.003610393,0.02188419,355.2243,359.69,357.5028
1676,10:51:40.5263,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1677,10:51:40.5323,H,-1.277184,1.114964,-1.062563,-0.9988955,0.04145071,0.003576549,0.02184037,355.2409,359.6933,357.5077
1677,10:51:40.5323,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1678,10:51:40.5422,H,-1.277117,1.114931,-1.062556,-0.9989083,0.04118025,0.003469343,0.02177931,355.2722,359.7047,357.5141
1678,10:51:40.5422,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1679,10:51:40.5532,H,-1.277079,1.114918,-1.062583,-0.9989189,0.04092313,0.003364453,0.02179464,355.302,359.7161,357.5119
1679,10:51:40.5532,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1680,10:51:40.5652,H,-1.277011,1.114863,-1.062589,-0.9989333,0.04060673,0.003234365,0.02175029,355.3386,359.7301,357.5163
1680,10:51:40.5652,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1681,10:51:40.5762,H,-1.276928,1.114814,-1.062542,-0.9989468,0.04031696,0.003054834,0.02168801,355.3723,359.7497,357.5226
1681,10:51:40.5762,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1682,10:51:40.5881,H,-1.276874,1.114758,-1.062539,-0.9989591,0.04001684,0.002907852,0.0217043,355.407,359.7659,357.5201
1682,10:51:40.5881,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1683,10:51:40.5981,H,-1.276832,1.114721,-1.062516,-0.9989715,0.03973499,0.002846449,0.02165514,355.4395,359.772,357.5254
1683,10:51:40.5981,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1684,10:51:40.6091,H,-1.276789,1.114715,-1.062468,-0.9989773,0.0395781,0.002777765,0.02168407,355.4577,359.7797,357.5218
1684,10:51:40.6091,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
