Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1600,11:34:33.5898,Trigger,0,0,0,0,0,0,0,0,0,0
1601,11:34:33.6017,H,-1.290653,1.100364,-1.070076,-0.9981908,-0.03834291,-0.04528744,-0.009696493,4.339653,5.245113,1.311985
1601,11:34:33.6017,T,-1.291965,0.9102951,-1.27847,0.1900659,-0.9816713,-0.002200654,0.0138414,338.0929,181.7301,179.4082
1602,11:34:33.6127,H,-1.290682,1.100397,-1.070096,-0.9981946,-0.03834941,-0.04517542,-0.009795631,4.340025,5.232678,1.322905
1602,11:34:33.6127,T,-1.291819,0.9102437,-1.278408,0.190186,-0.9816486,-0.0021734,0.01381014,338.0788,181.7259,179.412
1603,11:34:33.6237,H,-1.290724,1.10041,-1.070144,-0.9982055,-0.03815499,-0.04507653,-0.009902593,4.317327,5.221437,1.333707
1603,11:34:33.6237,T,-1.291771,0.9101866,-1.278414,0.1900969,-0.9816671,-0.002138845,0.01372246,338.0891,181.7143,179.4185
1604,11:34:33.6346,H,-1.290793,1.100409,-1.07022,-0.9982103,-0.03812007,-0.04496577,-0.01005448,4.312684,5.2093,1.350466
1604,11:34:33.6346,T,-1.291639,0.910134,-1.278354,0.1900567,-0.9816742,-0.00218366,0.01376529,338.0938,181.7205,179.4121
1605,11:34:33.6466,H,-1.290812,1.100406,-1.070236,-0.9982156,-0.03804964,-0.04490076,-0.01009633,4.304487,5.201885,1.354612
1605,11:34:33.6466,T,-1.291488,0.9099947,-1.278202,0.1900263,-0.9816808,-0.002128369,0.01372409,338.0973,181.7142,179.4198
1606,11:34:33.6576,H,-1.290823,1.100438,-1.070243,-0.9982251,-0.03793378,-0.04477323,-0.01015517,4.291083,5.187275,1.360196
1606,11:34:33.6576,T,-1.291356,0.9099276,-1.278145,0.1900401,-0.9816779,-0.002057166,0.01375229,338.0956,181.7159,179.4278
1607,11:34:33.6685,H,-1.290786,1.100432,-1.070295,-0.9982343,-0.03785449,-0.04460704,-0.01027582,4.281604,5.168551,1.372902
