Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1912,13:12:09.9528,Trigger,0,0,0,0,0,0,0,0,0,0
1913,13:12:09.9637,H,-1,381264,1,04857,-0,9109851,-0,9978368,-0,05387362,-0,03672159,-0,008418132,6,13641,4,279326,1,1962
1913,13:12:09.9637,T,-1,383241,0,8735418,-1,177796,0,2539518,-0,9663602,0,02848113,0,02907401,330,4967,182,748,182,6526
1914,13:12:09.9747,H,-1,381195,1,048577,-0,9109484,-0,9978328,-0,05399328,-0,03665266,-0,008430388,6,15016,4,271662,1,197714
1914,13:12:09.9747,T,-1,383245,0,8735399,-1,177806,0,2538849,-0,9663819,0,02838522,0,02903144,330,505,182,7459,182,642
1915,13:12:09.9857,H,-1,381149,1,048592,-0,9109098,-0,9978414,-0,05389883,-0,03654735,-0,008473583,6,139273,4,259643,1,201613
1915,13:12:09.9857,T,-1,383233,0,873543,-1,177885,0,2537831,-0,9664114,0,02833636,0,02898881,330,5173,182,7423,182,6373
1916,13:12:09.9966,H,-1,381322,1,048543,-0,911063,-0,9978421,-0,05392447,-0,03648763,-0,00847944,6,14226,4,252845,1,202031
1916,13:12:09.9966,T,-1,383223,0,8735443,-1,177903,0,2537765,-0,9664123,0,02834109,0,02900987,330,518,182,7448,182,6373
1917,13:12:10.0076,H,-1,381301,1,048576,-0,9110218,-0,9978498,-0,05396365,-0,03620798,-0,008526266,6,146891,4,220994,1,205861
1917,13:12:10.0076,T,-1,383219,0,873556,-1,177932,0,2537887,-0,9664092,0,02834372,0,02900423,330,5166,182,744,182,6377
1918,13:12:10.0186,H,-1,381447,1,048533,-0,9110261,-0,9978524,-0,05400138,-0,03608011,-0,008529089,6,15136,4,206351,1,20556
1918,13:12:10.0186,T,-1,383264,0,8735842,-1,177946,0,2537588,-0,9664162,0,02828978,0,02908452,330,5201,182,756,182,6283
1919,13:12:10.0296,H,-1,381527,1,048525,-0,9110744,-0,997852,-0,05408867,-0,03595696,-0,008551567,6,161425,4,192453,1,207763
1919,13:12:10.0296,T,-1,383314,0,8735348,-1,177925,0,2537938,-0,9664107,0,02815302,0,02909425,330,5163,182,7618,182,6104
1920,13:12:10.0415,H,-1,381679,1,048525,-0,9111034,-0,9978524,-0,05416967,-0,03581937,-0,008564007,6,170827,4,176821,1,208692
1920,13:12:10.0415,T,-1,383304,0,8735225,-1,177924,0,2537166,-0,9664322,0,02812602,0,02908144,330,5255,182,7612,182,6076
1921,13:12:10.0525,H,-1,381892,1,048436,-0,9113132,-0,9978554,-0,05420169,-0,03568595,-0,008573049,6,174623,4,161565,1,209043
1921,13:12:10.0525,T,-1,383336,0,8734797,-1,177903,0,2537613,-0,9664196,0,0281231,0,02910987,330,5202,182,7648,182,6062
1922,13:12:10.0635,H,-1,381915,1,048438,-0,911283,-0,9978558,-0,0542435,-0,03557385,-0,008725257,6,17892,4,149669,1,226034
1922,13:12:10.0635,T,-1,383377,0,8735008,-1,178003,0,2537463,-0,9664236,0,02809448,0,02913903,330,5219,182,7695,182,6016
1923,13:12:10.0744,H,-1,381916,1,04844,-0,9112785,-0,9978602,-0,05420052,-0,03545777,-0,008952739,6,173193,4,137639,1,251293
1923,13:12:10.0744,T,-1,383375,0,8734946,-1,178024,0,2537375,-0,9664292,0,02807883,0,02904196,330,5233,182,7577,182,6029
1924,13:12:10.0854,H,-1,381944,1,048456,-0,9112494,-0,9978599,-0,05419434,-0,0354326,-0,009120053,6,171822,4,135766,1,270355
1924,13:12:10.0854,T,-1,383369,0,8734908,-1,178037,0,2536914,-0,9664406,0,02807936,0,02906504,330,5287,182,7607,182,6022
1925,13:12:10.0964,H,-1,382057,1,048461,-0,9113655,-0,9978673,-0,05417579,-0,03520238,-0,009303408,6,169233,4,110357,1,289937
1925,13:12:10.0964,T,-1,383383,0,8735102,-1,178118,0,2536762,-0,9664446,0,02811542,0,02902913,330,5305,182,7549,182,608
1926,13:12:10.1084,H,-1,382121,1,04847,-0,9114109,-0,997875,-0,05409193,-0,03508242,-0,009424238,6,159276,4,097144,1,302732
1926,13:12:10.1084,T,-1,383336,0,8736101,-1,178062,0,2536848,-0,9664409,0,02817868,0,02901655,330,5293,182,7512,182,6165
1927,13:12:10.1183,H,-1,382003,1,048542,-0,9113047,-0,997883,-0,05394483,-0,03509923,-0,009367578,6,142619,4,098473,1,295692
1927,13:12:10.1183,T,-1,383244,0,873585,-1,178026,0,2536838,-0,9664433,0,02822017,0,02890567,330,5296,182,7357,182,6255
1928,13:12:10.1303,H,-1,382051,1,048561,-0,9113516,-0,9978909,-0,05387957,-0,03501817,-0,00919327,6,135953,4,087951,1,274865
1928,13:12:10.1303,T,-1,383288,0,8735121,-1,177919,0,2537639,-0,9664204,0,02829031,0,02889949,330,52,182,7325,182,6345
1929,13:12:10.1413,H,-1,381982,1,048628,-0,9111946,-0,9978972,-0,05380573,-0,03500498,-0,008985738,6,128352,4,085029,1,2506
1929,13:12:10.1413,T,-1,383312,0,8735409,-1,177882,0,2538043,-0,9664116,0,02825578,0,0288724,330,5154,182,7301,182,6309
1930,13:12:10.1522,H,-1,38197,1,048635,-0,9112175,-0,9979095,-0,05371247,-0,03485877,-0,008745981,6,118817,4,066563,1,221728
1930,13:12:10.1522,T,-1,38331,0,8735547,-1,177828,0,2538726,-0,9663969,0,02819692,0,028821,330,5076,182,7254,182,625
1931,13:12:10.1632,H,-1,381906,1,048695,-0,9111295,-0,9979209,-0,05356026,-0,03478439,-0,008678423,6,101728,4,057331,1,212859
1931,13:12:10.1632,T,-1,383242,0,8735286,-1,177757,0,2538375,-0,9664084,0,02822835,0,02871352,330,5119,182,7107,182,6327
1932,13:12:10.1752,H,-1,381855,1,04876,-0,911132,-0,9979272,-0,0534265,-0,03485373,-0,008486252,6,087086,4,06392,1,190618
1932,13:12:10.1752,T,-1,383277,0,8734823,-1,177785,0,2538656,-0,9664031,0,02813926,0,02873142,330,5088,182,7159,182,6207
1933,13:12:10.1861,H,-1,381873,1,048777,-0,9111778,-0,9979371,-0,05327753,-0,034826,-0,008389275,6,070431,4,059894,1,178667
1933,13:12:10.1861,T,-1,383264,0,8734819,-1,177825,0,2538835,-0,9664011,0,02813794,0,02864234,330,5069,182,7046,182,6235
1934,13:12:10.1971,H,-1,381803,1,048809,-0,9111201,-0,997943,-0,0531698,-0,03483153,-0,008340272,6,05827,4,060058,1,172611
1934,13:12:10.1971,T,-1,38326,0,8734652,-1,177789,0,2539263,-0,9663907,0,02815541,0,02859495,330,5019,182,698,182,6273
1935,13:12:10.2081,H,-1,381815,1,048823,-0,9111552,-0,9979478,-0,05302772,-0,03493068,-0,00825105,6,042225,4,070704,1,162354
1935,13:12:10.2081,T,-1,383291,0,8733717,-1,177902,0,2539427,-0,9663875,0,02814244,0,02857123,330,5001,182,6953,182,6264
1936,13:12:10.2191,H,-1,381696,1,048874,-0,9110879,-0,997954,-0,05283127,-0,0350313,-0,008334055,6,019242,4,082475,1,171679
1936,13:12:10.2191,T,-1,383296,0,8733464,-1,177887,0,2539654,-0,9663832,0,02812363,0,02853444,330,4976,182,6912,182,6252
1937,13:12:10.2300,H,-1,381691,1,048889,-0,9111428,-0,9979497,-0,05284866,-0,03514339,-0,00826709,6,021379,4,095004,1,164731
1937,13:12:10.2300,T,-1,383315,0,873505,-1,177897,0,2539462,-0,9663876,0,02821515,0,02846438,330,4998,182,6793,182,6392
1938,13:12:10.2410,H,-1,381495,1,048956,-0,9110514,-0,9979487,-0,05276058,-0,03530325,-0,008272002,6,011072,4,113297,1,165888
1938,13:12:10.2410,T,-1,383174,0,8734316,-1,177878,0,2539125,-0,9663944,0,02824049,0,02850989,330,5036,182,6843,182,641
