Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1598,10:57:11.7159,Trigger,0,0,0,0,0,0,0,0,0,0
1599,10:57:11.7269,H,-1.265719,1.068735,-1.151597,-0.9995431,0.02882513,0.009088117,0.0004376977,356.6961,358.9587,359.9799
1599,10:57:11.7269,T,-1.272701,0.8326516,-1.317646,0.01842575,-0.9995754,0.02235154,-0.003166778,357.8971,179.5898,182.5695
1600,10:57:11.7379,H,-1.265738,1.068754,-1.151613,-0.9995427,0.02883093,0.009108768,0.0003520804,356.6955,358.9561,359.9897
1600,10:57:11.7379,T,-1.272691,0.8326437,-1.317655,0.01862163,-0.9995731,0.02229781,-0.003140791,357.8746,179.5924,182.5634
1601,10:57:11.7488,H,-1.265732,1.068752,-1.151561,-0.9995417,0.02885242,0.009156243,0.0002540907,356.6932,358.9503,0.001171414
1601,10:57:11.7488,T,-1.272254,0.8325449,-1.317415,0.01869869,-0.9995692,0.02241312,-0.003059074,357.8656,179.6013,182.5764
1602,10:57:11.7598,H,-1.265752,1.068802,-1.151576,-0.9995434,0.02877475,0.009223338,0.0001428853,356.7022,358.9422,0.01406985
1602,10:57:11.7598,T,-1.272243,0.8325622,-1.317409,0.01862363,-0.9995711,0.02237686,-0.00315263,357.8744,179.5909,182.5725
1603,10:57:11.7718,H,-1.265772,1.0688,-1.151569,-0.9995431,0.02879829,0.009173777,4.317736E-05,356.6996,358.9476,0.02537042
1603,10:57:11.7718,T,-1.271862,0.8323723,-1.317101,0.01854625,-0.9995708,0.02243737,-0.003291374,357.8836,179.575,182.5797
1604,10:57:11.7827,H,-1.26583,1.068763,-1.151599,-0.999541,0.0288255,0.009322057,-0.0001309652,356.6967,358.93,0.04586907
1604,10:57:11.7827,T,-1.271845,0.8323841,-1.317086,0.01850241,-0.9995712,0.02245895,-0.003270938,357.8886,179.5774,182.5821
1605,10:57:11.7937,H,-1.265831,1.068746,-1.151598,-0.9995434,0.02870417,0.009435887,-0.0003027113,356.7108,358.9164,0.0658178
1605,10:57:11.7937,T,-1.272042,0.8322579,-1.31715,0.01873849,-0.9995682,0.02242774,-0.00306394,357.861,179.6006,182.5782
1606,10:57:11.8047,H,-1.265802,1.068762,-1.151658,-0.9995462,0.02859731,0.00945404,-0.0003393981,356.7231,358.9142,0.06996993
1606,10:57:11.8047,T,-1.272023,0.83223,-1.317134,0.01885661,-0.9995658,0.02243273,-0.003066371,357.8475,179.6,182.5788
1607,10:57:11.8157,H,-1.265793,1.068775,-1.151653,-0.9995459,0.0286033,0.00947253,-0.0004139961,356.7224,358.9118,0.07859558
1607,10:57:11.8157,T,-1.272521,0.8321979,-1.317294,0.01909533,-0.999562,0.02239017,-0.003143163,357.8203,179.5907,182.5742
1608,10:57:11.8266,H,-1.265717,1.068783,-1.151618,-0.9995441,0.02865574,0.009488878,-0.0005243762,356.7166,358.9096,0.09137043
1608,10:57:11.8266,T,-1.273433,0.8327491,-1.317805,0.01913313,-0.9995604,0.02242409,-0.003208848,357.8162,179.583,182.5782
1609,10:57:11.8376,H,-1.265731,1.068777,-1.151603,-0.9995411,0.02874353,0.009548382,-0.0004520288,356.7064,358.903,0.08336277
1609,10:57:11.8376,T,-1.273474,0.8327595,-1.317803,0.01902535,-0.9995593,0.02256849,-0.003138418,357.8284,179.591,182.5946
1610,10:57:11.8486,H,-1.265715,1.06878,-1.151531,-0.9995437,0.0286427,0.009598428,-0.0003416208,356.7179,358.8976,0.07074913
1610,10:57:11.8486,T,-1.273265,0.8328377,-1.317704,0.01904062,-0.9995596,0.02253347,-0.003222749,357.8269,179.5814,182.5908
1611,10:57:11.8605,H,-1.265793,1.068781,-1.151509,-0.9995441,0.02859128,0.009703143,-0.0001050928,356.7235,358.8864,0.04389961
1611,10:57:11.8605,T,-1.273292,0.83285,-1.317701,0.01928788,-0.9995546,0.02250932,-0.003456983,357.7991,179.554,182.5887
1612,10:57:11.8715,H,-1.2658,1.06877,-1.151505,-0.999544,0.02858138,0.009753281,9.682898E-05,356.7244,358.8813,0.0208872
1612,10:57:11.8715,T,-1.273306,0.8330219,-1.31787,0.0193149,-0.9995541,0.02249177,-0.003561023,357.7963,179.542,182.5869
1613,10:57:11.8825,H,-1.265867,1.068775,-1.151453,-0.9995458,0.02848279,0.009850978,0.0001660142,356.7357,358.8703,0.01315864
1613,10:57:11.8825,T,-1.273342,0.8330184,-1.317888,0.01947242,-0.9995543,0.02235421,-0.003497693,357.778,179.5491,182.5711
1614,10:57:11.8934,H,-1.265877,1.068741,-1.151446,-0.9995467,0.02843764,0.009880044,0.000238814,356.7407,358.8672,0.004850419
1614,10:57:11.8934,T,-1.272906,0.8329942,-1.317791,0.01916076,-0.9995609,0.0223712,-0.003234288,357.813,179.5801,182.5723
1615,10:57:11.9044,H,-1.265877,1.068736,-1.151435,-0.999553,0.02820088,0.009932013,0.0003222027,356.7678,358.8615,-0.004816739
1615,10:57:11.9044,T,-1.272928,0.8330176,-1.317809,0.0189453,-0.9995666,0.0223095,-0.00315263,357.8375,179.5902,182.5649
1616,10:57:11.9154,H,-1.265889,1.068664,-1.151453,-0.9995569,0.02807852,0.009872722,0.0004573815,356.7816,358.8688,359.9793
1616,10:57:11.9154,T,-1.273206,0.8329548,-1.31784,0.01895827,-0.9995688,0.02218962,-0.003222749,357.8362,179.5824,182.5513
1617,10:57:11.9264,H,-1.265833,1.068655,-1.151416,-0.999564,0.02780727,0.009918298,0.0004745005,356.8127,358.8636,359.9772
1617,10:57:11.9264,T,-1.273721,0.8330493,-1.317915,0.01910781,-0.9995728,0.02187206,-0.00328911,357.8191,179.5751,182.5151
1618,10:57:11.9373,H,-1.265776,1.06862,-1.151361,-0.9995736,0.02752816,0.009727215,0.00048593,356.8447,358.8856,359.975
1618,10:57:11.9373,T,-1.273771,0.8330438,-1.317939,0.01917787,-0.9995711,0.02189691,-0.003208848,357.8109,179.584,182.5178
1619,10:57:11.9496,H,-1.265762,1.068578,-1.151374,-0.9995804,0.02734195,0.009557927,0.0004527585,356.8661,358.9049,359.9781
1619,10:57:11.9496,T,-1.273273,0.8328751,-1.317648,0.01913119,-0.9995691,0.02203699,-0.00316913,357.8161,179.5884,182.5338
1620,10:57:11.9596,H,-1.265729,1.068529,-1.151361,-0.9995832,0.02727858,0.009441743,0.000470167,356.8734,358.9183,359.9756
1620,10:57:11.9596,T,-1.273281,0.8328688,-1.317651,0.01904962,-0.9995703,0.02205085,-0.003180863,357.8255,179.5872,182.5353
1621,10:57:11.9716,H,-1.265709,1.068495,-1.151362,-0.9995866,0.02719749,0.009315669,0.0003062938,356.8828,358.9323,359.9939
1621,10:57:11.9716,T,-1.273282,0.8329073,-1.317775,0.01893743,-0.9995695,0.02217249,-0.00324808,357.8386,179.5795,182.5494
1622,10:57:11.9825,H,-1.265684,1.068535,-1.151319,-0.9995918,0.02704147,0.009217112,0.0001487761,356.9009,358.9431,0.01153664
1622,10:57:11.9825,T,-1.273276,0.8329104,-1.317812,0.01888898,-0.9995694,0.02221814,-0.003266379,357.8442,179.5775,182.5546
1623,10:57:11.9935,H,-1.265678,1.068511,-1.151341,-0.999593,0.02703029,0.009118751,6.573091E-05,356.9023,358.9541,0.02074598
1623,10:57:11.9935,T,-1.272824,0.8328156,-1.317725,0.01890829,-0.9995676,0.02228042,-0.003280036,357.8421,179.5757,182.5618
1624,10:57:12.0045,H,-1.265669,1.068512,-1.15128,-0.9995955,0.02695516,0.009068461,8.474915E-05,356.9108,358.9599,0.01832999
1624,10:57:12.0045,T,-1.274255,0.8330488,-1.318245,0.0191382,-0.9995705,0.02189793,-0.003612951,357.8164,179.5378,182.5188
1625,10:57:12.0155,H,-1.265707,1.06852,-1.151304,-0.9995977,0.02688172,0.009043464,7.366904E-05,356.9193,358.9628,0.0194473
