Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1818,18:47:08.5716,Trigger,0,0,0,0,0,0,0,0,0,0
1819,18:47:08.6374,Trigger,0,0,0,0,0,0,0,0,0,0
1820,18:47:08.6374,Trigger,0,0,0,0,0,0,0,0,0,0
1821,18:47:08.6394,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1821,18:47:08.6394,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1822,18:47:08.6394,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1822,18:47:08.6394,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1823,18:47:08.6404,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1823,18:47:08.6404,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1824,18:47:08.6414,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1824,18:47:08.6414,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1825,18:47:08.6414,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1825,18:47:08.6414,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1826,18:47:08.6424,H,-1.481743,1.072749,-0.6849371,-0.9993968,0.03438158,-0.00271619,0.004073763,356.0607,0.3278912,359.5216
1826,18:47:08.6424,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1827,18:47:08.6484,H,-1.481914,1.072953,-0.6850761,-0.9993589,0.0355208,-0.002108987,0.003960144,355.9297,0.2582888,359.5367
1827,18:47:08.6484,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1828,18:47:08.6594,H,-1.482067,1.073159,-0.6852359,-0.9993281,0.03642147,-0.001468766,0.003849896,355.8262,0.1847533,359.5518
1828,18:47:08.6594,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1829,18:47:08.6703,H,-1.482233,1.073336,-0.6853837,-0.9992947,0.03734448,-0.001017484,0.003813806,355.7201,0.133205,359.5577
1829,18:47:08.6703,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1830,18:47:08.6813,H,-1.482385,1.073472,-0.685485,-0.9992638,0.03815752,-0.0005286726,0.003937595,355.6267,0.07798115,359.5455
1830,18:47:08.6813,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1831,18:47:08.6933,H,-1.482515,1.073622,-0.6856295,-0.999238,0.03882244,-0.0001097338,0.004051818,355.5502,0.03068289,359.5341
1831,18:47:08.6933,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1832,18:47:08.7043,H,-1.482708,1.073751,-0.685734,-0.999211,0.03949024,0.0004070111,0.004228643,355.4734,359.9724,359.5161
1832,18:47:08.7043,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1833,18:47:08.7152,H,-1.48286,1.073833,-0.6859063,-0.9991856,0.04011467,0.00068596,0.004310282,355.4017,359.9411,359.5081
1833,18:47:08.7152,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1834,18:47:08.7262,H,-1.483003,1.073989,-0.686107,-0.9991619,0.04069537,0.001078355,0.004279719,355.3349,359.8961,359.5134
1834,18:47:08.7262,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1835,18:47:08.7372,H,-1.483119,1.074101,-0.6862692,-0.9991414,0.04117823,0.001482113,0.004325877,355.2793,359.8502,359.51
1835,18:47:08.7372,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1836,18:47:08.7481,H,-1.483216,1.074175,-0.6864152,-0.9991133,0.04182851,0.001885544,0.00440796,355.2045,359.8046,359.5026
1836,18:47:08.7481,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1837,18:47:08.7591,H,-1.483276,1.074302,-0.6865746,-0.999096,0.04221372,0.002316132,0.004454736,355.1601,359.7555,359.4994
1837,18:47:08.7591,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1838,18:47:08.7711,H,-1.483416,1.074367,-0.6867496,-0.9990705,0.04280639,0.002664591,0.004316557,355.092,359.7151,359.5171
1838,18:47:08.7711,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1839,18:47:08.7820,H,-1.483464,1.074427,-0.6868907,-0.9990534,0.04318361,0.003061026,0.00425901,355.0486,359.6694,359.5258
1839,18:47:08.7820,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1840,18:47:08.7930,H,-1.483506,1.074509,-0.6870239,-0.9990379,0.04351809,0.003429777,0.004209426,355.01,359.6269,359.5334
1840,18:47:08.7930,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1841,18:47:08.8040,H,-1.483597,1.074545,-0.6871189,-0.9990212,0.04389421,0.003696819,0.004037674,354.9668,359.5956,359.5547
1841,18:47:08.8040,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1842,18:47:08.8150,H,-1.483636,1.074594,-0.6872321,-0.9990109,0.04411113,0.004015588,0.003926666,354.9419,359.5584,359.5691
1842,18:47:08.8150,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1843,18:47:08.8259,H,-1.483659,1.074588,-0.687443,-0.9990043,0.04425691,0.004187991,0.003780574,354.9251,359.5379,359.5868
1843,18:47:08.8259,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1844,18:47:08.8369,H,-1.483686,1.074594,-0.6876096,-0.9990007,0.04432301,0.004412687,0.003686512,354.9175,359.5117,359.5988
1844,18:47:08.8369,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1845,18:47:08.8489,H,-1.483713,1.074614,-0.6877462,-0.9989905,0.04455839,0.004423614,0.003612044,354.8905,359.5101,359.6075
1845,18:47:08.8489,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1846,18:47:08.8598,H,-1.483714,1.074689,-0.6878632,-0.9989728,0.04494096,0.004629025,0.003508253,354.8466,359.4861,359.6207
1846,18:47:08.8598,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1847,18:47:08.8708,H,-1.483671,1.074801,-0.6879238,-0.9989586,0.04524355,0.004761312,0.003462668,354.8119,359.4707,359.6268
1847,18:47:08.8708,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1848,18:47:08.8818,H,-1.483618,1.074879,-0.6880156,-0.9989321,0.04584249,0.004725876,0.003277686,354.7433,359.474,359.6482
1848,18:47:08.8818,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1849,18:47:08.8928,H,-1.483568,1.074982,-0.6880168,-0.9989088,0.04634418,0.004814909,0.003205181,354.6858,359.4636,359.6572
1849,18:47:08.8928,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1850,18:47:08.9037,H,-1.483548,1.075095,-0.6879827,-0.9988877,0.04681426,0.004786414,0.002998655,354.632,359.4659,359.681
1850,18:47:08.9037,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1851,18:47:08.9147,H,-1.483502,1.075167,-0.687993,-0.9988623,0.04736593,0.004776921,0.002814105,354.5688,359.4661,359.7025
1851,18:47:08.9147,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1852,18:47:08.9267,H,-1.483481,1.075301,-0.6879611,-0.9988503,0.0476375,0.004705214,0.002593587,354.5378,359.4732,359.7276
1852,18:47:08.9267,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1853,18:47:08.9376,H,-1.483456,1.075367,-0.6879505,-0.9988367,0.04793566,0.004639547,0.00244891,354.5036,359.48,359.744
1853,18:47:08.9376,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1854,18:47:08.9486,H,-1.483435,1.075404,-0.6879212,-0.9988309,0.0480666,0.00457285,0.002396654,354.4886,359.4874,359.7497
1854,18:47:08.9486,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1855,18:47:08.9596,H,-1.483409,1.075393,-0.6878852,-0.9988312,0.0480691,0.004431346,0.002470349,354.4884,359.5041,359.7404
1855,18:47:08.9596,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1856,18:47:08.9705,H,-1.483432,1.075348,-0.6878873,-0.9988393,0.04791235,0.004175607,0.002675197,354.5063,359.5346,359.7154
1856,18:47:08.9705,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1857,18:47:08.9815,H,-1.48338,1.075303,-0.6878984,-0.9988469,0.0477528,0.004100529,0.002797272,354.5246,359.5439,359.7009
1857,18:47:08.9815,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1858,18:47:08.9935,H,-1.483355,1.075228,-0.6878949,-0.998862,0.04744416,0.004035319,0.002730418,354.5601,359.5509,359.7081
1858,18:47:08.9935,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1859,18:47:09.0045,H,-1.483263,1.075152,-0.6879456,-0.9988751,0.04717629,0.003999388,0.002641605,354.5908,359.5545,359.718
1859,18:47:09.0334,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1860,18:47:09.0344,H,-1.483161,1.074989,-0.687929,-0.9989067,0.0465138,0.004032118,0.002382869,354.6669,359.5492,359.7477
1860,18:47:09.0344,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1861,18:47:09.0354,H,-1.483161,1.074989,-0.687929,-0.9989067,0.0465138,0.004032118,0.002382869,354.6669,359.5492,359.7477
1861,18:47:09.0354,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1862,18:47:09.0364,H,-1.483161,1.074989,-0.687929,-0.9989067,0.0465138,0.004032118,0.002382869,354.6669,359.5492,359.7477
1862,18:47:09.0364,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1863,18:47:09.0483,H,-1.483069,1.074884,-0.68795,-0.9989374,0.04585139,0.0040075,0.00239202,354.7429,359.5519,359.7462
1863,18:47:09.0483,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1864,18:47:09.0593,H,-1.483024,1.074826,-0.6879318,-0.9989517,0.04553687,0.003983665,0.002481818,354.779,359.5551,359.7356
1864,18:47:09.0593,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1865,18:47:09.0703,H,-1.482967,1.074732,-0.687896,-0.9989649,0.04525594,0.003870679,0.002483697,354.8112,359.568,359.7347
1865,18:47:09.0703,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1866,18:47:09.0812,H,-1.482948,1.074712,-0.6878799,-0.9989731,0.04507395,0.003852501,0.002531579,354.8321,359.5703,359.729
1866,18:47:09.0812,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1867,18:47:09.0922,H,-1.482895,1.074673,-0.6878656,-0.9989809,0.04490875,0.003721782,0.002582141,354.851,359.5856,359.7224
1867,18:47:09.0922,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1868,18:47:09.1037,H,-1.482814,1.074624,-0.6878978,-0.9989881,0.04475614,0.00373547,0.002397214,354.8686,359.583,359.7437
1868,18:47:09.1037,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1869,18:47:09.1147,H,-1.482765,1.074614,-0.6878929,-0.9989939,0.04463334,0.003664082,0.002403405,354.8827,359.5912,359.7426
1869,18:47:09.1147,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1870,18:47:09.1256,H,-1.482627,1.074584,-0.6878793,-0.9990001,0.04449878,0.003615873,0.002396,354.8982,359.5967,359.7431
1870,18:47:09.1256,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1871,18:47:09.1376,H,-1.482543,1.074548,-0.6878715,-0.9989954,0.04460578,0.003460218,0.002557904,354.8859,359.6154,359.7238
1871,18:47:09.1376,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1872,18:47:09.1486,H,-1.482471,1.074565,-0.687868,-0.9989911,0.0447108,0.00342072,0.002439234,354.8739,359.6194,359.7372
1872,18:47:09.1486,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
1873,18:47:09.1595,H,-1.482399,1.074594,-0.6878432,-0.9989867,0.04481118,0.003428491,0.002407628,354.8624,359.6183,359.7409
1873,18:47:09.1595,T,-1.56,-0.1,-0.6669998,1,0,0,0,0,0,0
