Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1783,11:03:38.6536,Trigger,0,0,0,0,0,0,0,0,0,0
1784,11:03:38.6646,H,-1.271841,1.077859,-1.077955,-0.9987633,0.04263686,0.02291487,-0.01135858,355.1442,357.3113,1.417176
1784,11:03:38.6646,T,-1.264518,0.8538781,-1.283329,0.1484419,-0.9887168,0.01667321,0.01122781,342.9079,181.0342,181.7768
1785,11:03:38.6765,H,-1.271918,1.078094,-1.077963,-0.9987513,0.04265587,0.02262816,-0.01281598,355.1455,357.3371,1.583256
1785,11:03:38.6765,T,-1.264048,0.853554,-1.283283,0.147929,-0.988793,0.01672764,0.01121321,342.9673,181.0323,181.7838
1786,11:03:38.6875,H,-1.27196,1.078124,-1.077963,-0.9987644,0.04207784,0.02219385,-0.01437227,355.2152,357.3806,1.758322
1786,11:03:38.6875,T,-1.263581,0.8531858,-1.283352,0.1473097,-0.9888828,0.01693877,0.01112448,343.039,181.019,181.8107
1787,11:03:38.6985,H,-1.272003,1.078087,-1.07801,-0.9988023,0.04069056,0.02178887,-0.01623659,355.3783,357.4212,1.966725
1787,11:03:38.6985,T,-1.263704,0.853166,-1.28363,0.146455,-0.9890062,0.01721191,0.01102086,343.1379,181.0033,181.8454
1788,11:03:38.7104,H,-1.272086,1.077957,-1.078031,-0.998847,0.03900409,0.0214422,-0.01798629,355.5754,357.4569,2.161491
1788,11:03:38.7104,T,-1.263232,0.8528633,-1.283561,0.1457621,-0.9891044,0.01755268,0.01085397,343.2181,180.9788,181.8889
1789,11:03:38.7214,H,-1.272144,1.077761,-1.078146,-0.9988986,0.03684375,0.02125441,-0.01981246,355.8272,357.476,2.364513
1789,11:03:38.7214,T,-1.264495,0.8534586,-1.284294,0.1451491,-0.9891928,0.01773006,0.01072553,343.2892,180.9615,181.9125
1790,11:03:38.7324,H,-1.272236,1.077521,-1.078183,-0.9989429,0.03475248,0.02099682,-0.02155407,356.0706,357.504,2.55778
1790,11:03:38.7324,T,-1.264106,0.8531818,-1.284275,0.1445715,-0.9892721,0.01803091,0.01071163,343.3558,180.9557,181.9486
1791,11:03:38.7434,H,-1.272304,1.077367,-1.078269,-0.998974,0.03284721,0.02065687,-0.02335033,356.2925,357.5415,2.757592
1791,11:03:38.7434,T,-1.26525,0.853723,-1.285114,0.1438718,-0.9893678,0.01840754,0.01065094,343.4366,180.9432,181.9945
1792,11:03:38.7553,H,-1.272439,1.077207,-1.078368,-0.9989978,0.03107391,0.0201695,-0.02511799,356.4986,357.5964,2.954065
1792,11:03:38.7553,T,-1.264903,0.853398,-1.285146,0.1428616,-0.9895065,0.01875081,0.01076228,343.553,180.9524,182.0336
1793,11:03:38.7663,H,-1.272516,1.077058,-1.078456,-0.999014,0.02942277,0.01986034,-0.02666756,356.6906,357.6319,3.126588
1793,11:03:38.7663,T,-1.267491,0.8543421,-1.286657,0.1418969,-0.9896322,0.01911248,0.01131375,343.6631,181.0132,182.0674
1794,11:03:38.7773,H,-1.272536,1.076972,-1.078536,-0.9990337,0.02753054,0.01961521,-0.02808786,356.9099,357.6618,3.283973
1794,11:03:38.7773,T,-1.268972,0.854876,-1.287722,0.1411727,-0.9897236,0.019464,0.01177836,343.7456,181.0635,182.1014
1795,11:03:38.7882,H,-1.272627,1.076777,-1.078658,-0.9990518,0.02567315,0.01941664,-0.02931606,357.1249,357.6873,3.419642
1795,11:03:38.7882,T,-1.268747,0.854611,-1.28781,0.1402993,-0.9898387,0.01971162,0.01212067,343.8457,181.1015,182.1254
1796,11:03:38.8002,H,-1.27271,1.07663,-1.078808,-0.9990715,0.02364532,0.01914553,-0.03050505,357.3589,357.7224,3.550292
1796,11:03:38.8002,T,-1.270582,0.8553092,-1.28896,0.1396796,-0.9899135,0.02001171,0.01267005,343.9159,181.1625,182.152
1797,11:03:38.8112,H,-1.272789,1.076493,-1.078964,-0.9990856,0.02163616,0.01892082,-0.03165378,357.5909,357.7528,3.67662
1797,11:03:38.8112,T,-1.270428,0.8550721,-1.289061,0.1387633,-0.9900324,0.0203627,0.01288059,344.021,181.1833,182.1905
1798,11:03:38.8221,H,-1.272852,1.07632,-1.079122,-0.9990986,0.01980504,0.01876845,-0.03251987,357.802,357.7752,3.771233
1798,11:03:38.8221,T,-1.271269,0.8553052,-1.289657,0.1379598,-0.9901309,0.02068759,0.01341386,344.1124,181.2424,182.2205
1799,11:03:38.8331,H,-1.272984,1.076168,-1.079238,-0.9991024,0.01808247,0.01861973,-0.03347821,358.0008,357.797,3.876775
1799,11:03:38.8331,T,-1.271123,0.8551016,-1.289771,0.1368158,-0.9902809,0.02093177,0.0136746,344.2438,181.2715,182.2458
