Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1714,17:16:53.0532,Trigger,0,0,0,0,0,0,0,0,0,0
1715,17:16:53.0931,H,-1.382608,1.017766,-1.301542,-0.9972552,-0.06886973,0.02612305,0.007533733,7.872422,356.9248,358.9227
1715,17:16:53.0931,T,-1.486791,0.4935271,-0.9602251,0.9976441,0.03427373,-0.02168596,-0.05533005,3.78348,357.2966,353.5619
1716,17:16:53.0941,H,-1.382608,1.017766,-1.301542,-0.9972552,-0.06886973,0.02612305,0.007533733,7.872422,356.9248,358.9227
1716,17:16:53.0941,T,-1.486791,0.4935271,-0.9602251,0.9976441,0.03427373,-0.02168596,-0.05533005,3.78348,357.2966,353.5619
1717,17:16:53.0941,H,-1.382608,1.017766,-1.301542,-0.9972552,-0.06886973,0.02612305,0.007533733,7.872422,356.9248,358.9227
1717,17:16:53.0941,T,-1.486791,0.4935271,-0.9602251,0.9976441,0.03427373,-0.02168596,-0.05533005,3.78348,357.2966,353.5619
1718,17:16:53.0971,H,-1.38262,1.01779,-1.301529,-0.9972619,-0.06880742,0.02602133,0.007571424,7.865263,356.9364,358.9193
1718,17:16:53.0971,T,-1.486761,0.4935136,-0.9601901,0.9976498,0.0342324,-0.02170004,-0.05524528,3.778889,357.2956,353.5717
1719,17:16:53.1151,H,-1.382701,1.01783,-1.301447,-0.9972655,-0.06878046,0.02595315,0.007570213,7.862245,356.9443,358.9201
1719,17:16:53.1151,T,-1.486615,0.4934167,-0.9602108,0.9976515,0.03412646,-0.02175285,-0.05526119,3.766383,357.2902,353.57
1720,17:16:53.1260,H,-1.382661,1.017874,-1.30145,-0.9972639,-0.06879087,0.02588798,0.007894121,7.86252,356.9492,358.8832
1720,17:16:53.1260,T,-1.486546,0.493408,-0.9601953,0.9976414,0.03404602,-0.02169214,-0.05551556,3.756879,357.2967,353.5412
