Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1651,11:59:59.0836,Trigger,0,0,0,0,0,0,0,0,0,0
1652,11:59:59.0955,H,-1.314583,1.124424,-1.067093,-0.9982561,0.03392074,0.03238676,0.03585291,355.9834,356.4235,356.0116
1652,11:59:59.0955,T,-1.337597,0.9641601,-1.293826,0.2551934,-0.9668145,-0.009923047,0.00690534,330.4415,181.2132,178.5038
1653,11:59:59.1065,H,-1.314655,1.124494,-1.067239,-0.9982448,0.03398041,0.03269361,0.03582887,355.9754,356.3884,356.0158
1653,11:59:59.1065,T,-1.337823,0.9642129,-1.294009,0.2549995,-0.966866,-0.009847677,0.006965499,330.4644,181.2178,178.5119
1654,11:59:59.1175,H,-1.314733,1.12457,-1.067404,-0.9982367,0.03408881,0.03286077,0.03580072,355.9624,356.3695,356.0201
1654,11:59:59.1175,T,-1.337873,0.9639748,-1.29441,0.2548259,-0.9669123,-0.009479921,0.007377936,330.4852,181.2576,178.5453
1655,11:59:59.1284,H,-1.314764,1.124639,-1.067535,-0.9982263,0.03428414,0.03303901,0.0357402,355.9396,356.3495,356.0284
1655,11:59:59.1284,T,-1.337803,0.9640859,-1.294318,0.2547618,-0.9669279,-0.009358902,0.007706882,330.4931,181.2952,178.5498
1656,11:59:59.1394,H,-1.314794,1.124726,-1.067707,-0.998222,0.03431714,0.03327356,0.03560966,355.9354,356.3222,356.0445
1656,11:59:59.1394,T,-1.338034,0.9641353,-1.294533,0.2545788,-0.9669748,-0.009362085,0.007858143,330.515,181.3142,178.5448
1657,11:59:59.1504,H,-1.314845,1.124761,-1.067837,-0.9982191,0.03449451,0.03335835,0.03543908,355.9153,356.3124,356.065
1657,11:59:59.1504,T,-1.338054,0.9642142,-1.294513,0.2544191,-0.9670164,-0.009168286,0.00813853,330.5341,181.343,178.5604
1658,11:59:59.1613,H,-1.314846,1.124823,-1.068015,-0.9982108,0.0346655,0.03357419,0.03530407,355.8954,356.2877,356.082
1658,11:59:59.1613,T,-1.338279,0.9642755,-1.294716,0.2542946,-0.9670492,-0.009065313,0.008240424,330.5489,181.3522,178.5704
1659,11:59:59.1733,H,-1.314862,1.124874,-1.068221,-0.9982006,0.03482826,0.03378125,0.03523602,355.8762,356.2642,356.0912
1659,11:59:59.1733,T,-1.338318,0.9642457,-1.294825,0.2540995,-0.9671006,-0.00889942,0.008408687,330.572,181.3676,178.5864
1660,11:59:59.1843,H,-1.31489,1.124956,-1.068412,-0.9981852,0.03508966,0.03403682,0.03516348,355.8455,356.2355,356.1015
1660,11:59:59.1843,T,-1.338541,0.9643059,-1.295032,0.2539017,-0.9671521,-0.008820373,0.008544051,330.5955,181.3816,178.5924
1661,11:59:59.1953,H,-1.314893,1.125023,-1.068621,-0.9981772,0.03532555,0.03410468,0.03509076,355.8185,356.2283,356.111
1661,11:59:59.1953,T,-1.338717,0.9644307,-1.295493,0.253586,-0.9672343,-0.008530086,0.008896071,330.633,181.416,178.6184
1662,11:59:59.2062,H,-1.314979,1.125112,-1.068782,-0.9981647,0.03562204,0.0341682,0.03508522,355.7843,356.2221,356.1129
1662,11:59:59.2062,T,-1.338511,0.9642969,-1.295371,0.2533521,-0.9672939,-0.008528339,0.009088296,330.6609,181.4398,178.6128
1663,11:59:59.2172,H,-1.314976,1.125181,-1.068998,-0.998149,0.0358997,0.03433501,0.03508486,355.7519,356.2039,356.1146
1663,11:59:59.2172,T,-1.338731,0.9643879,-1.295608,0.2532341,-0.9673256,-0.008445819,0.009080095,330.6748,181.4357,178.6238
1664,11:59:59.2292,H,-1.315001,1.12525,-1.06927,-0.9981366,0.03622616,0.0344332,0.03500414,355.7144,356.1935,356.1255
