Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1602,12:01:42.0215,Trigger,0,0,0,0,0,0,0,0,0,0
1603,12:01:42.0325,H,-1.270718,1.028396,-1.095429,-0.9971343,0.06847151,0.0132358,0.02932034,352.1068,358.7053,356.7208
1603,12:01:42.0325,T,-1.270591,0.827306,-1.285736,0.1479429,-0.9889911,0.0008717564,0.002967589,342.9843,180.3363,180.0507
1604,12:01:42.0455,H,-1.270805,1.028367,-1.095389,-0.9971511,0.06822599,0.01341743,0.02923738,352.1345,358.6829,356.7316
1604,12:01:42.0455,T,-1.270574,0.8273147,-1.28572,0.1479695,-0.9889871,0.0008970299,0.00295501,342.9812,180.3343,180.0539
1605,12:01:42.0554,H,-1.270815,1.028291,-1.095317,-0.9971615,0.06804544,0.0135743,0.02923096,352.1547,358.6642,356.7334
1605,12:01:42.0554,T,-1.270296,0.82717,-1.285544,0.1479709,-0.988987,0.0009134906,0.002904145,342.981,180.328,180.0568
1606,12:01:42.0664,H,-1.270876,1.02826,-1.095264,-0.9971763,0.06784909,0.01359127,0.02917332,352.1773,358.6612,356.74
1606,12:01:42.0664,T,-1.270282,0.8271828,-1.285538,0.1479751,-0.9889867,0.0008886853,0.002828767,342.9806,180.3195,180.0552
1607,12:01:42.0774,H,-1.270952,1.028239,-1.095244,-0.9971878,0.06768779,0.01370052,0.02910654,352.1956,358.6476,356.7484
1607,12:01:42.0774,T,-1.270377,0.8271886,-1.285552,0.148011,-0.9889814,0.0008097229,0.002815567,342.9764,180.3194,180.046
1608,12:01:42.0883,H,-1.271054,1.028163,-1.095215,-0.9971983,0.06753574,0.01370744,0.02909775,352.213,358.6462,356.7494
1608,12:01:42.0883,T,-1.270356,0.8271902,-1.285549,0.1480086,-0.9889819,0.0006796587,0.002796982,342.9768,180.3194,180.0309
1609,12:01:42.0993,H,-1.27109,1.028102,-1.095167,-0.99721,0.06738929,0.01371829,0.02903009,352.2299,358.644,356.7571
1609,12:01:42.0993,T,-1.270173,0.8271165,-1.285442,0.1480431,-0.9889769,0.0006796587,0.002737752,342.9728,180.3124,180.032
1610,12:01:42.1113,H,-1.271142,1.028062,-1.095131,-0.9972262,0.06717273,0.01370803,0.02897999,352.2548,358.6441,356.7626
1610,12:01:42.1113,T,-1.270143,0.8271241,-1.285433,0.1480207,-0.9889806,0.0005593965,0.002643605,342.9754,180.3034,180.0194
1611,12:01:42.1223,H,-1.271182,1.027998,-1.095067,-0.9972408,0.06696038,0.01375619,0.02894631,352.2791,358.6376,356.7667
1611,12:01:42.1223,T,-1.269853,0.8270258,-1.285316,0.1480359,-0.9889782,0.0006796588,0.002666056,342.9736,180.3039,180.0332
1612,12:01:42.1332,H,-1.271199,1.02799,-1.094992,-0.9972591,0.06672164,0.01374604,0.02887353,352.3066,358.6375,356.7748
1612,12:01:42.1332,T,-1.26978,0.8270088,-1.285227,0.1480576,-0.9889749,0.0006459354,0.002707651,342.9711,180.3094,180.0285
1613,12:01:42.1442,H,-1.271264,1.027967,-1.094963,-0.9972758,0.06651694,0.01373716,0.02877156,352.3303,358.6371,356.7863
1613,12:01:42.1442,T,-1.269818,0.8270469,-1.285243,0.1480204,-0.9889803,0.0006224389,0.002751325,342.9754,180.3151,180.025
1614,12:01:42.1552,H,-1.271306,1.027904,-1.094943,-0.9972911,0.06636075,0.01358066,0.02867453,352.3489,358.6539,356.7961
1614,12:01:42.1552,T,-1.269737,0.8270048,-1.285229,0.1480138,-0.9889811,0.0006103516,0.00283403,342.9762,180.3251,180.0221
1615,12:01:42.1661,H,-1.271337,1.027877,-1.094906,-0.9973048,0.06613698,0.01369819,0.02866018,352.3742,358.6396,356.7985
1615,12:01:42.1661,T,-1.26971,0.8270164,-1.2852,0.1481307,-0.9889631,0.0005725605,0.002995079,342.9626,180.3448,180.0147
1616,12:01:42.1771,H,-1.27138,1.027854,-1.094871,-0.9973173,0.06598109,0.01365384,0.02860779,352.3923,358.6438,356.804
1616,12:01:42.1771,T,-1.270077,0.8271159,-1.285347,0.1482348,-0.9889477,0.000422864,0.002960048,342.9507,180.3434,179.9975
1617,12:01:42.1881,H,-1.271434,1.027825,-1.094845,-0.9973272,0.06583347,0.01361337,0.02862071,352.4094,358.6481,356.8021
1617,12:01:42.1881,T,-1.269979,0.8270614,-1.285234,0.1481617,-0.9889585,0.0003860203,0.003014914,342.9591,180.3505,179.9922
1618,12:01:42.1990,H,-1.271462,1.027788,-1.094819,-0.9973286,0.06582396,0.01355116,0.02862188,352.4106,358.6553,356.8015
