Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1608,15:33:47.6197,Trigger,0,0,0,0,0,0,0,0,0,0
1609,15:33:47.6307,H,-1.389948,1.13753,-1.01046,-0.9965504,-0.04887707,0.002720928,-0.06701449,5.61144,0.06493278,7.697475
1609,15:33:47.6307,T,-1.367504,0.9366777,-1.251684,0.2311885,-0.9710087,-0.004617744,-0.06060309,333.2863,172.5671,181.2222
1610,15:33:47.6415,H,-1.389844,1.137685,-1.010081,-0.9966227,-0.04824415,0.001863552,-0.06642412,5.532479,0.1551138,7.633653
1610,15:33:47.6415,T,-1.367658,0.9366153,-1.251344,0.2311055,-0.9710383,-0.004765435,-0.06043307,333.2948,172.5931,181.198
1611,15:33:47.6525,H,-1.389793,1.137737,-1.009714,-0.9966797,-0.04786805,0.0007964966,-0.065861,5.481431,0.2715397,7.574263
1611,15:33:47.6525,T,-1.367764,0.9366792,-1.251162,0.2313223,-0.9709936,-0.004919297,-0.06031015,333.268,172.6119,181.1772
1612,15:33:47.6635,H,-1.389742,1.137712,-1.009406,-0.9967113,-0.04769849,-0.0002117939,-0.06550979,5.454515,0.3839978,7.539114
1612,15:33:47.6635,T,-1.367717,0.9365913,-1.251037,0.2317502,-0.9708653,-0.005061136,-0.06071952,333.2171,172.5627,181.1756
1613,15:33:47.6744,H,-1.389665,1.137674,-1.009083,-0.996713,-0.0479715,-0.001172545,-0.06527341,5.478634,0.4950058,7.517433
1613,15:33:47.6744,T,-1.367734,0.9367136,-1.250891,0.2323175,-0.9706963,-0.005358595,-0.06122614,333.1488,172.5051,181.1589
1614,15:33:47.6864,H,-1.38963,1.137523,-1.008783,-0.9967014,-0.04823956,-0.001978195,-0.06523342,5.503283,0.5892635,7.51758
1614,15:33:47.6864,T,-1.367625,0.9368216,-1.250661,0.232901,-0.9705136,-0.005637746,-0.06187689,333.0788,172.4288,181.149
1615,15:33:47.6974,H,-1.38965,1.137346,-1.008424,-0.9966623,-0.04889368,-0.00246804,-0.06532794,5.574417,0.6509846,7.532064
