Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1706,11:23:25.1938,Trigger,0,0,0,0,0,0,0,0,0,0
1707,11:23:25.2048,H,-1.254908,1.06999,-1.062187,-0.9983536,0.04169434,-0.03683279,-0.01396492,355.1654,4.165532,1.42687
1707,11:23:25.2048,T,-1.255705,0.855636,-1.269697,0.1403778,-0.9898089,0.009734294,-0.02185399,343.8908,177.2559,181.5153
1708,11:23:25.2157,H,-1.254835,1.069941,-1.062078,-0.9983562,0.04149592,-0.03700444,-0.013918,355.188,4.185707,1.42146
1708,11:23:25.2157,T,-1.255754,0.8556536,-1.269723,0.1404472,-0.9898003,0.009705935,-0.02181407,343.8826,177.2609,181.5115
1709,11:23:25.2267,H,-1.254772,1.069921,-1.062009,-0.9983577,0.04132855,-0.03714839,-0.01393239,355.207,4.202367,1.423103
1709,11:23:25.2267,T,-1.255158,0.8555882,-1.269298,0.1405465,-0.9897842,0.009768676,-0.02187683,343.8714,177.2522,181.5203
1710,11:23:25.2377,H,-1.254688,1.069832,-1.061885,-0.9983537,0.04127482,-0.03733609,-0.01387212,355.2131,4.224291,1.415502
1710,11:23:25.2377,T,-1.255876,0.8557338,-1.269555,0.1406728,-0.9897671,0.009699791,-0.02186865,343.8566,177.254,181.5125
1711,11:23:25.2486,H,-1.254637,1.069804,-1.061793,-0.998355,0.04122579,-0.0373796,-0.01380323,355.219,4.229677,1.407584
1711,11:23:25.2486,T,-1.255938,0.8557529,-1.269554,0.140752,-0.9897556,0.009695949,-0.02187717,343.8474,177.2529,181.5124
1712,11:23:25.2606,H,-1.254591,1.069746,-1.061697,-0.9983548,0.04122443,-0.03739235,-0.01378676,355.2192,4.231223,1.405638
1712,11:23:25.2606,T,-1.255623,0.8557914,-1.269485,0.1408644,-0.9897388,0.009769439,-0.02188602,343.8347,177.2504,181.5216
1713,11:23:25.2706,H,-1.254545,1.069705,-1.061607,-0.9983588,0.04114839,-0.03736804,-0.01378866,355.2279,4.228499,1.406287
1713,11:23:25.2706,T,-1.255669,0.8558216,-1.269472,0.1409961,-0.9897208,0.009832534,-0.02181954,343.8195,177.2568,181.5284
1714,11:23:25.2828,H,-1.254532,1.069673,-1.061485,-0.9983619,0.04102774,-0.03740462,-0.01381922,355.2416,4.232687,1.410118
1714,11:23:25.2828,T,-1.255301,0.8558089,-1.26924,0.1411092,-0.9897069,0.009882419,-0.02170038,343.8064,177.2698,181.5327
1715,11:23:25.2937,H,-1.254525,1.069659,-1.061381,-0.998373,0.04086943,-0.03729314,-0.01379214,355.26,4.220169,1.408194
1715,11:23:25.2937,T,-1.255324,0.8558437,-1.269229,0.1412452,-0.9896895,0.009919292,-0.02159127,343.7906,177.2818,181.5356
1716,11:23:25.3047,H,-1.25447,1.069612,-1.06128,-0.9983832,0.04075793,-0.03715329,-0.01376428,355.2731,4.204343,1.406118
1716,11:23:25.3047,T,-1.255225,0.8558604,-1.269084,0.1412683,-0.9896861,0.00999114,-0.0215595,343.788,177.2842,181.5437
1717,11:23:25.3157,H,-1.254409,1.069563,-1.061111,-0.9983867,0.04062412,-0.03719556,-0.01378808,355.2882,4.209232,1.409201
1717,11:23:25.3157,T,-1.255255,0.8558887,-1.269066,0.1413741,-0.9896733,0.01001572,-0.02144272,343.7757,177.2974,181.545
1718,11:23:25.3266,H,-1.25434,1.069516,-1.061015,-0.9984038,0.04031981,-0.03707736,-0.01376647,355.3234,4.196072,1.408525
1718,11:23:25.3266,T,-1.256089,0.8560749,-1.269382,0.1415694,-0.9896466,0.009998595,-0.02139924,343.753,177.3023,181.5428
1719,11:23:25.3386,H,-1.254318,1.069485,-1.060915,-0.9984143,0.04010919,-0.03704632,-0.01370564,355.3478,4.193014,1.40255
1719,11:23:25.3386,T,-1.255641,0.8559297,-1.269091,0.1416224,-0.9896393,0.0101883,-0.02129349,343.7472,177.3115,181.5636
